Nombre de la Empresa,Tipo de Cliente,Ubicacion,Ejecutivo de Cuenta,Volumen de Compra Mensual
Cliente 400,Mediana Empresa,Ubicacion 21,Empleado 89,29551.03
Cliente 401,Mediana Empresa,Ubicacion 30,Empleado 31,30411.28
Cliente 402,Corporativo,Ubicacion 94,Empleado 44,14668.47
Cliente 403,Corporativo,Ubicacion 44,Empleado 31,17767.26
Cliente 404,Corporativo,Ubicacion 25,Empleado 2,30414.19
Cliente 405,Gobierno,Ubicacion 71,Empleado 75,25366.24
Cliente 406,Corporativo,Ubicacion 90,Empleado 30,44654.71
Cliente 407,Corporativo,Ubicacion 24,Empleado 36,31037.72
Cliente 408,Corporativo,Ubicacion 70,Empleado 79,17874.57
Cliente 409,Gobierno,Ubicacion 69,Empleado 71,21916.88
Cliente 410,Corporativo,Ubicacion 26,Empleado 34,30703.43
Cliente 411,Corporativo,Ubicacion 92,Empleado 27,24609.81
Cliente 412,Gobierno,Ubicacion 23,Empleado 60,43406.48
Cliente 413,Corporativo,Ubicacion 10,Empleado 88,19148.82
Cliente 414,Mediana Empresa,Ubicacion 16,Empleado 78,882.55
Cliente 415,Corporativo,Ubicacion 21,Empleado 19,45623.79
Cliente 416,Gobierno,Ubicacion 87,Empleado 23,40739.47
Cliente 417,Corporativo,Ubicacion 66,Empleado 89,40889.08
Cliente 418,Mediana Empresa,Ubicacion 54,Empleado 15,9203.17
Cliente 419,Mediana Empresa,Ubicacion 57,Empleado 96,29184.37
Cliente 420,Corporativo,Ubicacion 59,Empleado 95,24411.23
Cliente 421,Gobierno,Ubicacion 58,Empleado 90,5177.77
Cliente 422,Corporativo,Ubicacion 11,Empleado 84,46092.74
Cliente 423,Mediana Empresa,Ubicacion 74,Empleado 60,25230.60
Cliente 424,Corporativo,Ubicacion 95,Empleado 30,34117.43
Cliente 425,Mediana Empresa,Ubicacion 78,Empleado 33,26067.41
Cliente 426,Mediana Empresa,Ubicacion 32,Empleado 35,8709.42
Cliente 427,Corporativo,Ubicacion 38,Empleado 29,44310.80
Cliente 428,Corporativo,Ubicacion 68,Empleado 96,27023.06
Cliente 429,Corporativo,Ubicacion 92,Empleado 62,45783.04
Cliente 430,Mediana Empresa,Ubicacion 74,Empleado 72,19342.55
Cliente 431,Corporativo,Ubicacion 74,Empleado 66,28923.56
Cliente 432,Corporativo,Ubicacion 25,Empleado 82,17405.61
Cliente 433,Mediana Empresa,Ubicacion 92,Empleado 49,24467.96
Cliente 434,Mediana Empresa,Ubicacion 84,Empleado 19,35172.70
Cliente 435,Mediana Empresa,Ubicacion 23,Empleado 63,47546.06
Cliente 436,Corporativo,Ubicacion 79,Empleado 95,5762.12
Cliente 437,Gobierno,Ubicacion 91,Empleado 46,23063.12
Cliente 438,Corporativo,Ubicacion 4,Empleado 35,49016.12
Cliente 439,Gobierno,Ubicacion 36,Empleado 98,18949.19
Cliente 440,Mediana Empresa,Ubicacion 35,Empleado 72,37067.88
Cliente 441,Mediana Empresa,Ubicacion 68,Empleado 50,46319.21
Cliente 442,Corporativo,Ubicacion 77,Empleado 44,36956.19
Cliente 443,Corporativo,Ubicacion 83,Empleado 53,32350.21
Cliente 444,Mediana Empresa,Ubicacion 68,Empleado 93,4537.90
Cliente 445,Gobierno,Ubicacion 49,Empleado 45,39830.42
Cliente 446,Corporativo,Ubicacion 28,Empleado 59,7553.12
Cliente 447,Corporativo,Ubicacion 19,Empleado 8,48571.78
Cliente 448,Gobierno,Ubicacion 56,Empleado 88,25582.39
Cliente 449,Gobierno,Ubicacion 26,Empleado 7,5213.24
Cliente 450,Corporativo,Ubicacion 56,Empleado 30,27664.26
Cliente 451,Corporativo,Ubicacion 58,Empleado 51,43743.16
Cliente 452,Mediana Empresa,Ubicacion 29,Empleado 84,47208.69
Cliente 453,Mediana Empresa,Ubicacion 90,Empleado 79,32588.39
Cliente 454,Mediana Empresa,Ubicacion 62,Empleado 67,27005.37
Cliente 455,Gobierno,Ubicacion 65,Empleado 58,946.13
Cliente 456,Corporativo,Ubicacion 61,Empleado 87,16931.31
Cliente 457,Mediana Empresa,Ubicacion 90,Empleado 44,31303.75
Cliente 458,Gobierno,Ubicacion 66,Empleado 4,20579.41
Cliente 459,Mediana Empresa,Ubicacion 24,Empleado 61,21801.09
Cliente 460,Mediana Empresa,Ubicacion 21,Empleado 11,16857.16
Cliente 461,Mediana Empresa,Ubicacion 41,Empleado 68,6598.69
Cliente 462,Corporativo,Ubicacion 62,Empleado 55,30881.09
Cliente 463,Gobierno,Ubicacion 72,Empleado 9,4744.63
Cliente 464,Corporativo,Ubicacion 75,Empleado 63,33299.60
Cliente 465,Corporativo,Ubicacion 21,Empleado 69,4293.26
Cliente 466,Gobierno,Ubicacion 71,Empleado 4,31706.94
Cliente 467,Corporativo,Ubicacion 41,Empleado 99,14540.87
Cliente 468,Corporativo,Ubicacion 81,Empleado 16,18191.11
Cliente 469,Corporativo,Ubicacion 92,Empleado 6,17101.11
Cliente 470,Corporativo,Ubicacion 17,Empleado 58,37284.29
Cliente 471,Gobierno,Ubicacion 35,Empleado 79,6563.52
Cliente 472,Corporativo,Ubicacion 37,Empleado 26,2471.02
Cliente 473,Mediana Empresa,Ubicacion 8,Empleado 21,29155.62
Cliente 474,Mediana Empresa,Ubicacion 85,Empleado 50,5426.48
Cliente 475,Corporativo,Ubicacion 57,Empleado 87,21605.82
Cliente 476,Corporativo,Ubicacion 23,Empleado 19,780.63
Cliente 477,Corporativo,Ubicacion 81,Empleado 3,12293.91
Cliente 478,Corporativo,Ubicacion 89,Empleado 29,2775.11
Cliente 479,Corporativo,Ubicacion 12,Empleado 9,37238.26
Cliente 480,Gobierno,Ubicacion 11,Empleado 80,29794.29
Cliente 481,Corporativo,Ubicacion 74,Empleado 12,21106.04
Cliente 482,Gobierno,Ubicacion 55,Empleado 41,35642.58
Cliente 483,Corporativo,Ubicacion 76,Empleado 29,28330.01
Cliente 484,Mediana Empresa,Ubicacion 9,Empleado 78,18177.38
Cliente 485,Mediana Empresa,Ubicacion 30,Empleado 6,47153.49
Cliente 486,Mediana Empresa,Ubicacion 7,Empleado 56,1028.61
Cliente 487,Corporativo,Ubicacion 81,Empleado 3,15691.00
Cliente 488,Corporativo,Ubicacion 55,Empleado 80,6974.58
Cliente 489,Mediana Empresa,Ubicacion 21,Empleado 28,19742.90
Cliente 490,Mediana Empresa,Ubicacion 50,Empleado 68,6904.79
Cliente 491,Gobierno,Ubicacion 30,Empleado 29,19091.34
Cliente 492,Corporativo,Ubicacion 7,Empleado 86,48790.86
Cliente 493,Corporativo,Ubicacion 17,Empleado 97,40084.60
Cliente 494,Corporativo,Ubicacion 36,Empleado 70,49270.78
Cliente 495,Corporativo,Ubicacion 19,Empleado 72,44414.73
Cliente 496,Gobierno,Ubicacion 85,Empleado 48,46027.32
Cliente 497,Corporativo,Ubicacion 39,Empleado 25,11730.55
Cliente 498,Mediana Empresa,Ubicacion 66,Empleado 84,13226.39
Cliente 499,Corporativo,Ubicacion 85,Empleado 69,36676.92
Cliente 500,Corporativo,Ubicacion 6,Empleado 32,19625.21
Cliente 501,Mediana Empresa,Ubicacion 16,Empleado 4,27651.09
Cliente 502,Corporativo,Ubicacion 64,Empleado 3,21067.58
Cliente 503,Mediana Empresa,Ubicacion 13,Empleado 82,41812.98
Cliente 504,Mediana Empresa,Ubicacion 91,Empleado 41,25379.87
Cliente 505,Corporativo,Ubicacion 35,Empleado 12,18551.44
Cliente 506,Mediana Empresa,Ubicacion 82,Empleado 77,43737.78
Cliente 507,Mediana Empresa,Ubicacion 63,Empleado 44,1474.50
Cliente 508,Mediana Empresa,Ubicacion 17,Empleado 14,12403.96
Cliente 509,Corporativo,Ubicacion 30,Empleado 81,33451.33
Cliente 510,Mediana Empresa,Ubicacion 86,Empleado 61,13977.08
Cliente 511,Mediana Empresa,Ubicacion 97,Empleado 63,19091.86
Cliente 512,Gobierno,Ubicacion 44,Empleado 13,41958.02
Cliente 513,Corporativo,Ubicacion 54,Empleado 56,27065.23
Cliente 514,Corporativo,Ubicacion 25,Empleado 44,47936.51
Cliente 515,Gobierno,Ubicacion 75,Empleado 11,4082.94
Cliente 516,Mediana Empresa,Ubicacion 1,Empleado 53,40548.80
Cliente 517,Mediana Empresa,Ubicacion 41,Empleado 16,21244.36
Cliente 518,Gobierno,Ubicacion 7,Empleado 83,46197.17
Cliente 519,Mediana Empresa,Ubicacion 29,Empleado 61,27332.66
Cliente 520,Mediana Empresa,Ubicacion 67,Empleado 36,43205.93
Cliente 521,Corporativo,Ubicacion 69,Empleado 38,45551.53
Cliente 522,Corporativo,Ubicacion 69,Empleado 93,13184.12
Cliente 523,Gobierno,Ubicacion 1,Empleado 62,28574.64
Cliente 524,Corporativo,Ubicacion 17,Empleado 49,10205.49
Cliente 525,Mediana Empresa,Ubicacion 80,Empleado 73,42875.17
Cliente 526,Corporativo,Ubicacion 91,Empleado 22,9444.60
Cliente 527,Mediana Empresa,Ubicacion 53,Empleado 49,24356.54
Cliente 528,Corporativo,Ubicacion 71,Empleado 63,37209.82
Cliente 529,Corporativo,Ubicacion 42,Empleado 10,25207.89
Cliente 530,Gobierno,Ubicacion 18,Empleado 4,46096.71
Cliente 531,Gobierno,Ubicacion 100,Empleado 85,25946.64
Cliente 532,Corporativo,Ubicacion 1,Empleado 89,37483.43
Cliente 533,Mediana Empresa,Ubicacion 49,Empleado 55,45492.67
Cliente 534,Gobierno,Ubicacion 6,Empleado 95,41780.49
Cliente 535,Corporativo,Ubicacion 97,Empleado 76,34075.22
Cliente 536,Gobierno,Ubicacion 84,Empleado 54,25515.08
Cliente 537,Gobierno,Ubicacion 28,Empleado 76,2328.23
Cliente 538,Gobierno,Ubicacion 48,Empleado 50,32154.11
Cliente 539,Corporativo,Ubicacion 56,Empleado 86,45925.15
Cliente 540,Gobierno,Ubicacion 15,Empleado 18,32887.15
Cliente 541,Gobierno,Ubicacion 43,Empleado 53,12560.76
Cliente 542,Gobierno,Ubicacion 3,Empleado 58,17955.77
Cliente 543,Corporativo,Ubicacion 55,Empleado 38,30369.49
Cliente 544,Mediana Empresa,Ubicacion 33,Empleado 4,26874.05
Cliente 545,Gobierno,Ubicacion 44,Empleado 98,22424.82
Cliente 546,Corporativo,Ubicacion 63,Empleado 100,5525.82
Cliente 547,Corporativo,Ubicacion 53,Empleado 46,27520.97
Cliente 548,Corporativo,Ubicacion 69,Empleado 70,21636.07
Cliente 549,Mediana Empresa,Ubicacion 7,Empleado 17,2643.25
Cliente 550,Gobierno,Ubicacion 78,Empleado 33,4038.08
Cliente 551,Mediana Empresa,Ubicacion 85,Empleado 88,1558.07
Cliente 552,Gobierno,Ubicacion 12,Empleado 48,21055.06
Cliente 553,Mediana Empresa,Ubicacion 1,Empleado 50,45573.39
Cliente 554,Corporativo,Ubicacion 50,Empleado 2,44382.83
Cliente 555,Corporativo,Ubicacion 93,Empleado 37,19585.31
Cliente 556,Mediana Empresa,Ubicacion 51,Empleado 84,29726.72
Cliente 557,Gobierno,Ubicacion 21,Empleado 42,8209.58
Cliente 558,Corporativo,Ubicacion 90,Empleado 87,18982.44
Cliente 559,Gobierno,Ubicacion 13,Empleado 14,15309.90
Cliente 560,Mediana Empresa,Ubicacion 49,Empleado 57,49058.21
Cliente 561,Gobierno,Ubicacion 50,Empleado 38,16534.17
Cliente 562,Corporativo,Ubicacion 39,Empleado 14,45598.46
Cliente 563,Corporativo,Ubicacion 94,Empleado 42,8770.24
Cliente 564,Mediana Empresa,Ubicacion 100,Empleado 13,35077.18
Cliente 565,Mediana Empresa,Ubicacion 99,Empleado 48,9138.57
Cliente 566,Corporativo,Ubicacion 8,Empleado 76,35899.77
Cliente 567,Corporativo,Ubicacion 84,Empleado 98,13273.02
Cliente 568,Corporativo,Ubicacion 66,Empleado 93,14547.45
Cliente 569,Mediana Empresa,Ubicacion 76,Empleado 71,21146.34
Cliente 570,Mediana Empresa,Ubicacion 92,Empleado 52,41111.02
Cliente 571,Mediana Empresa,Ubicacion 25,Empleado 35,48212.90
Cliente 572,Mediana Empresa,Ubicacion 71,Empleado 40,27184.50
Cliente 573,Gobierno,Ubicacion 63,Empleado 72,32048.46
Cliente 574,Mediana Empresa,Ubicacion 66,Empleado 79,15249.03
Cliente 575,Mediana Empresa,Ubicacion 38,Empleado 42,46065.37
Cliente 576,Gobierno,Ubicacion 21,Empleado 69,36375.15
Cliente 577,Gobierno,Ubicacion 38,Empleado 24,42191.99
Cliente 578,Gobierno,Ubicacion 99,Empleado 26,17040.19
Cliente 579,Corporativo,Ubicacion 1,Empleado 78,10219.77
Cliente 580,Gobierno,Ubicacion 35,Empleado 91,43792.76
Cliente 581,Corporativo,Ubicacion 84,Empleado 19,34038.55
Cliente 582,Mediana Empresa,Ubicacion 4,Empleado 68,29911.80
Cliente 583,Corporativo,Ubicacion 25,Empleado 71,44005.58
Cliente 584,Gobierno,Ubicacion 76,Empleado 16,32863.42
Cliente 585,Mediana Empresa,Ubicacion 25,Empleado 49,21401.38
Cliente 586,Mediana Empresa,Ubicacion 51,Empleado 19,47552.63
Cliente 587,Corporativo,Ubicacion 11,Empleado 14,36931.80
Cliente 588,Corporativo,Ubicacion 77,Empleado 72,4492.64
Cliente 589,Corporativo,Ubicacion 54,Empleado 19,22242.22
Cliente 590,Corporativo,Ubicacion 49,Empleado 83,9851.76
Cliente 591,Corporativo,Ubicacion 38,Empleado 69,27862.61
Cliente 592,Corporativo,Ubicacion 71,Empleado 79,21829.76
Cliente 593,Gobierno,Ubicacion 7,Empleado 77,11730.93
Cliente 594,Gobierno,Ubicacion 41,Empleado 82,39381.96
Cliente 595,Corporativo,Ubicacion 64,Empleado 41,11231.76
Cliente 596,Mediana Empresa,Ubicacion 35,Empleado 1,8278.31
Cliente 597,Mediana Empresa,Ubicacion 79,Empleado 25,31198.81
Cliente 598,Gobierno,Ubicacion 63,Empleado 55,3119.38
Cliente 599,Gobierno,Ubicacion 40,Empleado 58,33359.85
Cliente 600,Mediana Empresa,Ubicacion 93,Empleado 97,3957.83
Cliente 601,Mediana Empresa,Ubicacion 87,Empleado 38,37075.61
Cliente 602,Corporativo,Ubicacion 48,Empleado 40,5986.15
Cliente 603,Gobierno,Ubicacion 6,Empleado 93,10375.43
Cliente 604,Corporativo,Ubicacion 95,Empleado 6,29072.26
Cliente 605,Gobierno,Ubicacion 51,Empleado 89,40277.66
Cliente 606,Corporativo,Ubicacion 68,Empleado 9,3074.50
Cliente 607,Gobierno,Ubicacion 48,Empleado 58,17512.64
Cliente 608,Mediana Empresa,Ubicacion 41,Empleado 75,26738.22
Cliente 609,Corporativo,Ubicacion 45,Empleado 83,28799.86
Cliente 610,Corporativo,Ubicacion 56,Empleado 30,47795.55
Cliente 611,Gobierno,Ubicacion 25,Empleado 79,42287.35
Cliente 612,Corporativo,Ubicacion 23,Empleado 22,6001.25
Cliente 613,Corporativo,Ubicacion 14,Empleado 46,40997.24
Cliente 614,Mediana Empresa,Ubicacion 78,Empleado 22,38059.86
Cliente 615,Gobierno,Ubicacion 55,Empleado 98,9900.86
Cliente 616,Mediana Empresa,Ubicacion 73,Empleado 20,37153.03
Cliente 617,Corporativo,Ubicacion 79,Empleado 57,26677.69
Cliente 618,Corporativo,Ubicacion 67,Empleado 78,11132.01
Cliente 619,Gobierno,Ubicacion 41,Empleado 12,19718.00
Cliente 620,Gobierno,Ubicacion 78,Empleado 3,26277.46
Cliente 621,Mediana Empresa,Ubicacion 26,Empleado 53,18823.48
Cliente 622,Gobierno,Ubicacion 21,Empleado 20,27988.46
Cliente 623,Mediana Empresa,Ubicacion 90,Empleado 90,27565.35
Cliente 624,Corporativo,Ubicacion 93,Empleado 17,35823.32
Cliente 625,Mediana Empresa,Ubicacion 82,Empleado 14,10768.89
Cliente 626,Mediana Empresa,Ubicacion 56,Empleado 36,19959.73
Cliente 627,Corporativo,Ubicacion 66,Empleado 6,11850.31
Cliente 628,Gobierno,Ubicacion 15,Empleado 76,8908.95
Cliente 629,Corporativo,Ubicacion 37,Empleado 71,6978.15
Cliente 630,Mediana Empresa,Ubicacion 21,Empleado 95,29415.18
Cliente 631,Mediana Empresa,Ubicacion 97,Empleado 83,43153.42
Cliente 632,Corporativo,Ubicacion 42,Empleado 31,40617.51
Cliente 633,Gobierno,Ubicacion 61,Empleado 11,21492.27
Cliente 634,Mediana Empresa,Ubicacion 100,Empleado 73,40181.38
Cliente 635,Mediana Empresa,Ubicacion 94,Empleado 71,9157.90
Cliente 636,Corporativo,Ubicacion 45,Empleado 93,3810.43
Cliente 637,Gobierno,Ubicacion 56,Empleado 85,37872.44
Cliente 638,Corporativo,Ubicacion 4,Empleado 16,18924.16
Cliente 639,Corporativo,Ubicacion 37,Empleado 55,22588.66
Cliente 640,Corporativo,Ubicacion 50,Empleado 7,42732.47
Cliente 641,Corporativo,Ubicacion 72,Empleado 23,47571.90
Cliente 642,Corporativo,Ubicacion 63,Empleado 85,7129.79
Cliente 643,Mediana Empresa,Ubicacion 61,Empleado 89,43759.68
Cliente 644,Corporativo,Ubicacion 75,Empleado 5,44540.20
Cliente 645,Corporativo,Ubicacion 22,Empleado 53,47118.46
Cliente 646,Corporativo,Ubicacion 3,Empleado 92,20109.06
Cliente 647,Corporativo,Ubicacion 97,Empleado 73,31327.04
Cliente 648,Corporativo,Ubicacion 82,Empleado 18,31700.42
Cliente 649,Mediana Empresa,Ubicacion 99,Empleado 53,25269.93
Cliente 650,Mediana Empresa,Ubicacion 27,Empleado 98,27962.51
Cliente 651,Corporativo,Ubicacion 99,Empleado 70,5270.19
Cliente 652,Gobierno,Ubicacion 39,Empleado 33,10504.01
Cliente 653,Corporativo,Ubicacion 35,Empleado 1,25510.40
Cliente 654,Corporativo,Ubicacion 44,Empleado 56,13475.23
Cliente 655,Gobierno,Ubicacion 65,Empleado 12,2605.49
Cliente 656,Gobierno,Ubicacion 86,Empleado 60,18372.97
Cliente 657,Corporativo,Ubicacion 19,Empleado 71,44527.23
Cliente 658,Mediana Empresa,Ubicacion 64,Empleado 38,29697.78
Cliente 659,Mediana Empresa,Ubicacion 84,Empleado 77,6966.83
Cliente 660,Mediana Empresa,Ubicacion 47,Empleado 14,27022.51
Cliente 661,Gobierno,Ubicacion 55,Empleado 72,32389.40
Cliente 662,Corporativo,Ubicacion 2,Empleado 72,36387.87
Cliente 663,Corporativo,Ubicacion 65,Empleado 23,12433.46
Cliente 664,Corporativo,Ubicacion 54,Empleado 5,11707.47
Cliente 665,Corporativo,Ubicacion 26,Empleado 6,49984.87
Cliente 666,Corporativo,Ubicacion 83,Empleado 52,16369.04
Cliente 667,Mediana Empresa,Ubicacion 98,Empleado 85,40406.09
Cliente 668,Corporativo,Ubicacion 38,Empleado 90,2460.39
Cliente 669,Mediana Empresa,Ubicacion 51,Empleado 38,27689.19
Cliente 670,Gobierno,Ubicacion 4,Empleado 100,14523.79
Cliente 671,Mediana Empresa,Ubicacion 90,Empleado 68,11249.26
Cliente 672,Corporativo,Ubicacion 90,Empleado 56,15809.13
Cliente 673,Mediana Empresa,Ubicacion 78,Empleado 13,14045.62
Cliente 674,Gobierno,Ubicacion 56,Empleado 74,8462.56
Cliente 675,Corporativo,Ubicacion 25,Empleado 48,2931.80
Cliente 676,Gobierno,Ubicacion 70,Empleado 23,46769.43
Cliente 677,Gobierno,Ubicacion 45,Empleado 6,47765.38
Cliente 678,Mediana Empresa,Ubicacion 58,Empleado 6,43546.50
Cliente 679,Corporativo,Ubicacion 54,Empleado 32,31107.14
Cliente 680,Gobierno,Ubicacion 91,Empleado 55,35421.17
Cliente 681,Corporativo,Ubicacion 94,Empleado 90,3093.51
Cliente 682,Corporativo,Ubicacion 77,Empleado 68,45758.54
Cliente 683,Corporativo,Ubicacion 53,Empleado 28,39921.63
Cliente 684,Gobierno,Ubicacion 26,Empleado 77,31391.09
Cliente 685,Gobierno,Ubicacion 59,Empleado 51,8388.02
Cliente 686,Corporativo,Ubicacion 46,Empleado 97,13786.62
Cliente 687,Corporativo,Ubicacion 86,Empleado 46,5305.00
Cliente 688,Corporativo,Ubicacion 45,Empleado 38,30144.57
Cliente 689,Corporativo,Ubicacion 20,Empleado 81,19752.29
Cliente 690,Gobierno,Ubicacion 70,Empleado 25,14128.53
Cliente 691,Mediana Empresa,Ubicacion 63,Empleado 99,6735.25
Cliente 692,Corporativo,Ubicacion 2,Empleado 17,17219.32
Cliente 693,Corporativo,Ubicacion 22,Empleado 14,36192.14
Cliente 694,Mediana Empresa,Ubicacion 41,Empleado 11,27340.94
Cliente 695,Corporativo,Ubicacion 69,Empleado 80,35358.69
Cliente 696,Corporativo,Ubicacion 39,Empleado 54,42210.96
Cliente 697,Corporativo,Ubicacion 3,Empleado 28,29587.75
Cliente 698,Mediana Empresa,Ubicacion 93,Empleado 1,36765.35
Cliente 699,Gobierno,Ubicacion 42,Empleado 23,11918.03
Cliente 700,Corporativo,Ubicacion 21,Empleado 13,1523.50
Cliente 701,Mediana Empresa,Ubicacion 47,Empleado 76,30681.95
Cliente 702,Gobierno,Ubicacion 5,Empleado 72,30624.14
Cliente 703,Corporativo,Ubicacion 67,Empleado 45,23892.67
Cliente 704,Corporativo,Ubicacion 61,Empleado 98,22822.09
Cliente 705,Corporativo,Ubicacion 21,Empleado 25,3192.13
Cliente 706,Gobierno,Ubicacion 78,Empleado 74,34726.45
Cliente 707,Mediana Empresa,Ubicacion 95,Empleado 8,40297.12
Cliente 708,Mediana Empresa,Ubicacion 80,Empleado 76,25645.17
Cliente 709,Mediana Empresa,Ubicacion 93,Empleado 41,7329.24
Cliente 710,Gobierno,Ubicacion 7,Empleado 79,33225.85
Cliente 711,Mediana Empresa,Ubicacion 58,Empleado 83,3557.02
Cliente 712,Corporativo,Ubicacion 71,Empleado 57,37811.13
Cliente 713,Mediana Empresa,Ubicacion 57,Empleado 36,32103.48
Cliente 714,Corporativo,Ubicacion 89,Empleado 67,23943.80
Cliente 715,Corporativo,Ubicacion 58,Empleado 29,35647.36
Cliente 716,Gobierno,Ubicacion 23,Empleado 67,37609.83
Cliente 717,Corporativo,Ubicacion 99,Empleado 20,13011.18
Cliente 718,Mediana Empresa,Ubicacion 3,Empleado 98,43464.31
Cliente 719,Corporativo,Ubicacion 24,Empleado 61,3858.87
Cliente 720,Mediana Empresa,Ubicacion 65,Empleado 51,16478.01
Cliente 721,Mediana Empresa,Ubicacion 34,Empleado 92,13718.16
Cliente 722,Corporativo,Ubicacion 95,Empleado 81,29175.61
Cliente 723,Gobierno,Ubicacion 51,Empleado 12,6765.75
Cliente 724,Gobierno,Ubicacion 37,Empleado 92,11281.68
Cliente 725,Mediana Empresa,Ubicacion 16,Empleado 47,8954.88
Cliente 726,Corporativo,Ubicacion 50,Empleado 39,27355.46
Cliente 727,Corporativo,Ubicacion 99,Empleado 22,11948.24
Cliente 728,Gobierno,Ubicacion 2,Empleado 92,20122.95
Cliente 729,Mediana Empresa,Ubicacion 69,Empleado 50,35751.19
Cliente 730,Mediana Empresa,Ubicacion 30,Empleado 14,28763.75
Cliente 731,Corporativo,Ubicacion 66,Empleado 78,39759.42
Cliente 732,Corporativo,Ubicacion 88,Empleado 86,3666.72
Cliente 733,Corporativo,Ubicacion 63,Empleado 17,2311.54
Cliente 734,Gobierno,Ubicacion 90,Empleado 61,3973.02
Cliente 735,Gobierno,Ubicacion 77,Empleado 62,48694.47
Cliente 736,Gobierno,Ubicacion 71,Empleado 67,6006.28
Cliente 737,Mediana Empresa,Ubicacion 32,Empleado 69,5604.79
Cliente 738,Corporativo,Ubicacion 53,Empleado 24,43097.82
Cliente 739,Mediana Empresa,Ubicacion 35,Empleado 93,20667.50
Cliente 740,Corporativo,Ubicacion 5,Empleado 93,29708.65
Cliente 741,Corporativo,Ubicacion 80,Empleado 27,18339.41
Cliente 742,Corporativo,Ubicacion 65,Empleado 32,33153.84
Cliente 743,Mediana Empresa,Ubicacion 14,Empleado 49,4609.90
Cliente 744,Corporativo,Ubicacion 68,Empleado 68,25843.60
Cliente 745,Corporativo,Ubicacion 56,Empleado 52,7744.00
Cliente 746,Corporativo,Ubicacion 79,Empleado 93,49715.85
Cliente 747,Gobierno,Ubicacion 29,Empleado 96,48252.88
Cliente 748,Corporativo,Ubicacion 86,Empleado 51,4786.50
Cliente 749,Corporativo,Ubicacion 24,Empleado 72,5393.98
Cliente 750,Mediana Empresa,Ubicacion 8,Empleado 63,21330.27
Cliente 751,Corporativo,Ubicacion 60,Empleado 75,17579.47
Cliente 752,Gobierno,Ubicacion 19,Empleado 96,9225.16
Cliente 753,Mediana Empresa,Ubicacion 49,Empleado 77,24414.80
Cliente 754,Corporativo,Ubicacion 92,Empleado 47,27189.32
Cliente 755,Gobierno,Ubicacion 6,Empleado 84,48880.03
Cliente 756,Gobierno,Ubicacion 39,Empleado 40,17449.19
Cliente 757,Gobierno,Ubicacion 41,Empleado 6,17990.05
Cliente 758,Corporativo,Ubicacion 79,Empleado 74,36977.24
Cliente 759,Corporativo,Ubicacion 11,Empleado 16,27887.54
Cliente 760,Corporativo,Ubicacion 64,Empleado 40,26510.64
Cliente 761,Corporativo,Ubicacion 47,Empleado 27,7824.55
Cliente 762,Gobierno,Ubicacion 73,Empleado 59,13911.91
Cliente 763,Mediana Empresa,Ubicacion 24,Empleado 82,31012.45
Cliente 764,Corporativo,Ubicacion 94,Empleado 60,37573.12
Cliente 765,Mediana Empresa,Ubicacion 20,Empleado 76,20583.20
Cliente 766,Corporativo,Ubicacion 89,Empleado 22,10522.35
Cliente 767,Corporativo,Ubicacion 98,Empleado 16,14027.58
Cliente 768,Corporativo,Ubicacion 10,Empleado 5,49314.62
Cliente 769,Mediana Empresa,Ubicacion 34,Empleado 72,39052.52
Cliente 770,Corporativo,Ubicacion 87,Empleado 93,43598.01
Cliente 771,Mediana Empresa,Ubicacion 75,Empleado 28,33566.37
Cliente 772,Corporativo,Ubicacion 24,Empleado 1,34873.02
Cliente 773,Corporativo,Ubicacion 82,Empleado 40,3277.98
Cliente 774,Mediana Empresa,Ubicacion 77,Empleado 13,28300.90
Cliente 775,Mediana Empresa,Ubicacion 61,Empleado 89,23533.64
Cliente 776,Corporativo,Ubicacion 1,Empleado 47,34754.86
Cliente 777,Corporativo,Ubicacion 26,Empleado 7,21306.94
Cliente 778,Gobierno,Ubicacion 41,Empleado 11,32009.40
Cliente 779,Mediana Empresa,Ubicacion 70,Empleado 75,23414.69
Cliente 780,Corporativo,Ubicacion 56,Empleado 45,42620.06
Cliente 781,Corporativo,Ubicacion 24,Empleado 9,563.70
Cliente 782,Mediana Empresa,Ubicacion 30,Empleado 97,17700.25
Cliente 783,Corporativo,Ubicacion 13,Empleado 7,26990.20
Cliente 784,Mediana Empresa,Ubicacion 42,Empleado 16,11863.97
Cliente 785,Corporativo,Ubicacion 90,Empleado 59,41557.49
Cliente 786,Gobierno,Ubicacion 57,Empleado 71,16933.96
Cliente 787,Gobierno,Ubicacion 37,Empleado 48,26130.61
Cliente 788,Corporativo,Ubicacion 87,Empleado 82,49461.00
Cliente 789,Gobierno,Ubicacion 73,Empleado 17,39174.05
Cliente 790,Mediana Empresa,Ubicacion 52,Empleado 16,6154.49
Cliente 791,Mediana Empresa,Ubicacion 32,Empleado 61,34859.16
Cliente 792,Corporativo,Ubicacion 100,Empleado 2,3494.52
Cliente 793,Corporativo,Ubicacion 56,Empleado 81,1582.55
Cliente 794,Corporativo,Ubicacion 52,Empleado 48,29982.40
Cliente 795,Mediana Empresa,Ubicacion 90,Empleado 13,43723.08
Cliente 796,Corporativo,Ubicacion 71,Empleado 18,33209.44
Cliente 797,Mediana Empresa,Ubicacion 57,Empleado 19,39204.08
Cliente 798,Corporativo,Ubicacion 23,Empleado 72,18475.46
