Nombre de la Empresa,Tipo de Cliente,Ubicacion,Ejecutivo de Cuenta,Volumen de Compra Mensual
Cliente 1067,Mediana Empresa,Ubicacion 94,a02aj000008MD5nAAG,46336.17
Cliente 1514,Corporativo,Ubicacion 25,a02aj000008MD5aAAG,39324.73
Cliente 1811,Gobierno,Ubicacion 46,a02aj000008MD5UAAW,18467.60
Cliente 1454,Gobierno,Ubicacion 21,a02aj000008MD5cAAG,46377.82
Cliente 248,Corporativo,Ubicacion 100,a02aj000008MD6GAAW,34407.89
Cliente 471,Gobierno,Ubicacion 35,a02aj000008MD68AAG,6563.52
Cliente 623,Mediana Empresa,Ubicacion 90,a02aj000008MD6CAAW,27565.35
Cliente 580,Gobierno,Ubicacion 35,a02aj000008MD5TAAW,43792.76
Cliente 489,Mediana Empresa,Ubicacion 21,a02aj000008MD5xAAG,19742.90
Cliente 109,Gobierno,Ubicacion 89,a02aj000008MD6IAAW,14565.98
Cliente 1824,Corporativo,Ubicacion 87,a02aj000008MD6LAAW,33927.31
Cliente 62,Mediana Empresa,Ubicacion 44,a02aj000008MD6KAAW,18716.75
Cliente 209,Gobierno,Ubicacion 64,a02aj000008MD66AAG,42755.18
Cliente 499,Corporativo,Ubicacion 85,a02aj000008MD6KAAW,36676.92
Cliente 1529,Mediana Empresa,Ubicacion 34,a02aj000008MD5SAAW,12727.10
Cliente 497,Corporativo,Ubicacion 39,a02aj000008MD63AAG,11730.55
Cliente 1419,Corporativo,Ubicacion 18,a02aj000008MD5tAAG,34723.91
Cliente 1064,Mediana Empresa,Ubicacion 94,a02aj000008MD5ZAAW,15377.18
Cliente 1649,Mediana Empresa,Ubicacion 64,a02aj000008MD5hAAG,14158.58
Cliente 1974,Corporativo,Ubicacion 21,a02aj000008MD5MAAW,17136.55
Cliente 1691,Gobierno,Ubicacion 87,a02aj000008MD5jAAG,4535.45
Cliente 238,Mediana Empresa,Ubicacion 80,a02aj000008MD5RAAW,42324.45
Cliente 494,Corporativo,Ubicacion 36,a02aj000008MD5dAAG,49270.78
Cliente 1674,Corporativo,Ubicacion 73,a02aj000008MD5nAAG,37375.06
Cliente 1422,Mediana Empresa,Ubicacion 82,a02aj000008MD5SAAW,43387.54
Cliente 1429,Gobierno,Ubicacion 91,a02aj000008MD5NAAW,2337.05
Cliente 1074,Corporativo,Ubicacion 53,a02aj000008MD5lAAG,49017.32
Cliente 1579,Mediana Empresa,Ubicacion 32,a02aj000008MD60AAG,42626.26
Cliente 1610,Gobierno,Ubicacion 86,a02aj000008MD5uAAG,37013.07
Cliente 474,Mediana Empresa,Ubicacion 85,a02aj000008MD5tAAG,5426.48
Cliente 1834,Corporativo,Ubicacion 52,a02aj000008MD5pAAG,16123.69
Cliente 1600,Mediana Empresa,Ubicacion 32,a02aj000008MD5TAAW,40793.84
Cliente 1654,Corporativo,Ubicacion 27,a02aj000008MD60AAG,45765.91
Cliente 1086,Gobierno,Ubicacion 46,a02aj000008MD5QAAW,10043.46
Cliente 1405,Mediana Empresa,Ubicacion 69,a02aj000008MD5ZAAW,24171.10
Cliente 328,Mediana Empresa,Ubicacion 37,a02aj000008MD5lAAG,36393.10
Cliente 1415,Corporativo,Ubicacion 51,a02aj000008MD5MAAW,41960.24
Cliente 935,Gobierno,Ubicacion 99,a02aj000008MD6LAAW,38248.59
Cliente 1485,Mediana Empresa,Ubicacion 4,a02aj000008MD5KAAW,18530.57
Cliente 1313,Corporativo,Ubicacion 87,a02aj000008MD5bAAG,16300.22
Cliente 1252,Mediana Empresa,Ubicacion 78,a02aj000008MD5YAAW,34515.59
Cliente 1890,Corporativo,Ubicacion 78,a02aj000008MD5rAAG,47283.17
Cliente 718,Mediana Empresa,Ubicacion 3,a02aj000008MD6MAAW,43464.31
Cliente 677,Gobierno,Ubicacion 45,a02aj000008MD5oAAG,47765.38
Cliente 1157,Corporativo,Ubicacion 55,a02aj000008MD5qAAG,24204.20
Cliente 503,Mediana Empresa,Ubicacion 13,a02aj000008MD5zAAG,41812.98
Cliente 71,Corporativo,Ubicacion 44,a02aj000008MD5GAAW,11844.75
Cliente 732,Corporativo,Ubicacion 88,a02aj000008MD5lAAG,3666.72
Cliente 781,Corporativo,Ubicacion 24,a02aj000008MD67AAG,563.70
Cliente 428,Corporativo,Ubicacion 68,a02aj000008MD5wAAG,27023.06
Cliente 1949,Mediana Empresa,Ubicacion 66,a02aj000008MD5VAAW,3869.33
Cliente 147,Gobierno,Ubicacion 97,a02aj000008MD5rAAG,24272.50
Cliente 565,Mediana Empresa,Ubicacion 99,a02aj000008MD5kAAG,9138.57
Cliente 135,Gobierno,Ubicacion 74,a02aj000008MD6RAAW,36647.34
Cliente 1865,Gobierno,Ubicacion 100,a02aj000008MD5gAAG,17494.48
Cliente 1988,Gobierno,Ubicacion 99,a02aj000008MD5dAAG,27851.28
Cliente 366,Corporativo,Ubicacion 57,a02aj000008MD6GAAW,29906.41
Cliente 885,Corporativo,Ubicacion 59,a02aj000008MD5UAAW,17810.64
Cliente 402,Corporativo,Ubicacion 94,a02aj000008MD6GAAW,14668.47
Cliente 1662,Gobierno,Ubicacion 39,a02aj000008MD5FAAW,6099.04
Cliente 1250,Gobierno,Ubicacion 10,a02aj000008MD6EAAW,19574.23
Cliente 919,Corporativo,Ubicacion 55,a02aj000008MD6MAAW,1533.47
Cliente 511,Mediana Empresa,Ubicacion 97,a02aj000008MD61AAG,19091.86
Cliente 392,Corporativo,Ubicacion 41,a02aj000008MD5GAAW,12822.09
Cliente 1914,Corporativo,Ubicacion 83,a02aj000008MD63AAG,47554.15
Cliente 1591,Corporativo,Ubicacion 11,a02aj000008MD6AAAW,33053.15
Cliente 169,Mediana Empresa,Ubicacion 43,a02aj000008MD5kAAG,34589.42
Cliente 1908,Corporativo,Ubicacion 97,a02aj000008MD5gAAG,25992.00
Cliente 398,Corporativo,Ubicacion 41,a02aj000008MD6AAAW,14500.50
Cliente 722,Corporativo,Ubicacion 95,a02aj000008MD5MAAW,29175.61
Cliente 1466,Corporativo,Ubicacion 24,a02aj000008MD6NAAW,15679.29
Cliente 1543,Corporativo,Ubicacion 75,a02aj000008MD68AAG,12443.72
Cliente 485,Mediana Empresa,Ubicacion 30,a02aj000008MD5oAAG,47153.49
Cliente 227,Corporativo,Ubicacion 96,a02aj000008MD5ZAAW,12436.45
Cliente 1106,Corporativo,Ubicacion 85,a02aj000008MD6OAAW,38400.62
Cliente 1122,Mediana Empresa,Ubicacion 32,a02aj000008MD5FAAW,25224.23
Cliente 1040,Corporativo,Ubicacion 42,a02aj000008MD66AAG,43752.48
Cliente 282,Mediana Empresa,Ubicacion 69,a02aj000008MD5NAAW,29540.08
Cliente 1706,Corporativo,Ubicacion 66,a02aj000008MD6QAAW,33960.08
Cliente 191,Mediana Empresa,Ubicacion 23,a02aj000008MD6RAAW,1242.37
Cliente 1459,Mediana Empresa,Ubicacion 90,a02aj000008MD6AAAW,42044.12
Cliente 1305,Mediana Empresa,Ubicacion 79,a02aj000008MD5ZAAW,38105.53
Cliente 997,Corporativo,Ubicacion 72,a02aj000008MD5tAAG,22584.30
Cliente 1596,Gobierno,Ubicacion 34,a02aj000008MD5rAAG,44475.61
Cliente 1276,Gobierno,Ubicacion 4,a02aj000008MD5LAAW,2709.83
Cliente 1389,Corporativo,Ubicacion 24,a02aj000008MD6IAAW,11536.19
Cliente 1238,Gobierno,Ubicacion 35,a02aj000008MD63AAG,43726.99
Cliente 266,Mediana Empresa,Ubicacion 91,a02aj000008MD5ZAAW,9375.62
Cliente 1300,Corporativo,Ubicacion 56,a02aj000008MD5cAAG,30333.58
Cliente 1302,Mediana Empresa,Ubicacion 71,a02aj000008MD5uAAG,15571.33
Cliente 934,Mediana Empresa,Ubicacion 38,a02aj000008MD6BAAW,17029.30
Cliente 663,Corporativo,Ubicacion 65,a02aj000008MD5LAAW,12433.46
Cliente 635,Mediana Empresa,Ubicacion 94,a02aj000008MD5HAAW,9157.90
Cliente 13,Mediana Empresa,Ubicacion 54,a02aj000008MD5KAAW,2132.97
Cliente 199,Corporativo,Ubicacion 18,a02aj000008MD5dAAG,49509.22
Cliente 1420,Mediana Empresa,Ubicacion 15,a02aj000008MD5YAAW,24538.64
Cliente 387,Corporativo,Ubicacion 77,a02aj000008MD5OAAW,20631.62
Cliente 407,Corporativo,Ubicacion 24,a02aj000008MD5rAAG,31037.72
Cliente 802,Corporativo,Ubicacion 86,a02aj000008MD5MAAW,23600.62
Cliente 397,Corporativo,Ubicacion 56,a02aj000008MD60AAG,6940.61
Cliente 1128,Corporativo,Ubicacion 2,a02aj000008MD5eAAG,13107.68
Cliente 1530,Corporativo,Ubicacion 24,a02aj000008MD5LAAW,42748.79
Cliente 1847,Corporativo,Ubicacion 93,a02aj000008MD6PAAW,22521.58
Cliente 729,Mediana Empresa,Ubicacion 69,a02aj000008MD5tAAG,35751.19
Cliente 915,Gobierno,Ubicacion 17,a02aj000008MD6IAAW,15099.94
Cliente 173,Corporativo,Ubicacion 23,a02aj000008MD5XAAW,5384.65
Cliente 1787,Mediana Empresa,Ubicacion 5,a02aj000008MD5wAAG,40407.18
Cliente 454,Mediana Empresa,Ubicacion 62,a02aj000008MD5pAAG,27005.37
Cliente 442,Corporativo,Ubicacion 77,a02aj000008MD6GAAW,36956.19
Cliente 892,Mediana Empresa,Ubicacion 44,a02aj000008MD5tAAG,42300.74
Cliente 1668,Corporativo,Ubicacion 2,a02aj000008MD5cAAG,19521.28
Cliente 1795,Gobierno,Ubicacion 9,a02aj000008MD5qAAG,26390.78
Cliente 185,Gobierno,Ubicacion 77,a02aj000008MD5lAAG,4270.50
Cliente 811,Corporativo,Ubicacion 100,a02aj000008MD6KAAW,33173.66
Cliente 1605,Gobierno,Ubicacion 66,a02aj000008MD66AAG,18840.49
Cliente 1352,Gobierno,Ubicacion 91,a02aj000008MD5NAAW,33174.18
Cliente 594,Gobierno,Ubicacion 41,a02aj000008MD5zAAG,39381.96
Cliente 858,Gobierno,Ubicacion 71,a02aj000008MD5JAAW,19330.87
Cliente 856,Gobierno,Ubicacion 41,a02aj000008MD5YAAW,46514.41
Cliente 813,Mediana Empresa,Ubicacion 95,a02aj000008MD6BAAW,3359.68
Cliente 867,Gobierno,Ubicacion 93,a02aj000008MD5qAAG,17069.10
Cliente 212,Corporativo,Ubicacion 71,a02aj000008MD5TAAW,4654.51
Cliente 1805,Corporativo,Ubicacion 18,a02aj000008MD6HAAW,10932.42
Cliente 1728,Mediana Empresa,Ubicacion 58,a02aj000008MD63AAG,44038.81
Cliente 757,Gobierno,Ubicacion 41,a02aj000008MD5oAAG,17990.05
Cliente 1484,Corporativo,Ubicacion 27,a02aj000008MD6EAAW,18553.34
Cliente 1289,Corporativo,Ubicacion 35,a02aj000008MD5bAAG,43365.46
Cliente 1732,Corporativo,Ubicacion 48,a02aj000008MD6RAAW,2057.41
Cliente 804,Corporativo,Ubicacion 1,a02aj000008MD6MAAW,1244.56
Cliente 965,Gobierno,Ubicacion 70,a02aj000008MD60AAG,12630.72
Cliente 777,Corporativo,Ubicacion 26,a02aj000008MD69AAG,21306.94
Cliente 1331,Gobierno,Ubicacion 5,a02aj000008MD5UAAW,12058.10
Cliente 1683,Corporativo,Ubicacion 88,a02aj000008MD5qAAG,41608.27
Cliente 1665,Corporativo,Ubicacion 37,a02aj000008MD5vAAG,16776.64
Cliente 830,Gobierno,Ubicacion 30,a02aj000008MD6HAAW,20264.75
Cliente 597,Mediana Empresa,Ubicacion 79,a02aj000008MD63AAG,31198.81
Cliente 650,Mediana Empresa,Ubicacion 27,a02aj000008MD6MAAW,27962.51
Cliente 129,Corporativo,Ubicacion 39,a02aj000008MD5OAAW,36145.99
Cliente 771,Mediana Empresa,Ubicacion 75,a02aj000008MD5xAAG,33566.37
Cliente 1633,Corporativo,Ubicacion 88,a02aj000008MD6HAAW,15902.74
Cliente 1957,Gobierno,Ubicacion 6,a02aj000008MD5oAAG,46688.81
Cliente 1384,Mediana Empresa,Ubicacion 12,a02aj000008MD5pAAG,34202.90
Cliente 562,Corporativo,Ubicacion 39,a02aj000008MD62AAG,45598.46
Cliente 1751,Gobierno,Ubicacion 53,a02aj000008MD5xAAG,23385.37
Cliente 796,Corporativo,Ubicacion 71,a02aj000008MD65AAG,33209.44
Cliente 210,Corporativo,Ubicacion 53,a02aj000008MD5hAAG,36257.88
Cliente 1341,Corporativo,Ubicacion 83,a02aj000008MD62AAG,2417.17
Cliente 841,Gobierno,Ubicacion 28,a02aj000008MD5KAAW,26269.44
Cliente 615,Gobierno,Ubicacion 55,a02aj000008MD6MAAW,9900.86
Cliente 1671,Gobierno,Ubicacion 99,a02aj000008MD5LAAW,48943.90
Cliente 1707,Corporativo,Ubicacion 67,a02aj000008MD5MAAW,6165.59
Cliente 1335,Corporativo,Ubicacion 36,a02aj000008MD5lAAG,38440.20
Cliente 530,Gobierno,Ubicacion 18,a02aj000008MD64AAG,46096.71
Cliente 1618,Corporativo,Ubicacion 10,a02aj000008MD5gAAG,32952.35
Cliente 1172,Mediana Empresa,Ubicacion 85,a02aj000008MD5zAAG,15768.02
Cliente 1724,Gobierno,Ubicacion 16,a02aj000008MD60AAG,30535.77
Cliente 1016,Mediana Empresa,Ubicacion 35,a02aj000008MD5rAAG,7325.56
Cliente 835,Corporativo,Ubicacion 37,a02aj000008MD67AAG,43917.19
Cliente 1087,Corporativo,Ubicacion 3,a02aj000008MD6LAAW,45135.71
Cliente 1567,Mediana Empresa,Ubicacion 40,a02aj000008MD69AAG,46707.31
Cliente 694,Mediana Empresa,Ubicacion 41,a02aj000008MD5NAAW,27340.94
Cliente 421,Gobierno,Ubicacion 58,a02aj000008MD6CAAW,5177.77
Cliente 634,Mediana Empresa,Ubicacion 100,a02aj000008MD5iAAG,40181.38
Cliente 1640,Corporativo,Ubicacion 27,a02aj000008MD5PAAW,28568.31
Cliente 756,Gobierno,Ubicacion 39,a02aj000008MD5KAAW,17449.19
Cliente 825,Corporativo,Ubicacion 91,a02aj000008MD5xAAG,45452.43
Cliente 1659,Corporativo,Ubicacion 17,a02aj000008MD5hAAG,7288.96
Cliente 1898,Corporativo,Ubicacion 7,a02aj000008MD6GAAW,8312.81
Cliente 1392,Mediana Empresa,Ubicacion 1,a02aj000008MD6KAAW,13238.39
Cliente 1441,Mediana Empresa,Ubicacion 87,a02aj000008MD6NAAW,24498.46
Cliente 1199,Mediana Empresa,Ubicacion 71,a02aj000008MD5rAAG,47150.94
Cliente 482,Gobierno,Ubicacion 55,a02aj000008MD5fAAG,35642.58
Cliente 984,Mediana Empresa,Ubicacion 82,a02aj000008MD6IAAW,19254.49
Cliente 165,Corporativo,Ubicacion 34,a02aj000008MD6LAAW,41134.65
Cliente 237,Mediana Empresa,Ubicacion 86,a02aj000008MD5rAAG,11464.24
Cliente 393,Gobierno,Ubicacion 96,a02aj000008MD69AAG,31284.27
Cliente 1926,Mediana Empresa,Ubicacion 48,a02aj000008MD65AAG,10448.63
Cliente 1667,Corporativo,Ubicacion 10,a02aj000008MD6LAAW,48975.03
Cliente 400,Mediana Empresa,Ubicacion 21,a02aj000008MD5aAAG,29551.03
Cliente 449,Gobierno,Ubicacion 26,a02aj000008MD69AAG,5213.24
Cliente 1645,Gobierno,Ubicacion 50,a02aj000008MD61AAG,8963.90
Cliente 1489,Corporativo,Ubicacion 91,a02aj000008MD5eAAG,7490.07
Cliente 118,Gobierno,Ubicacion 45,a02aj000008MD63AAG,6972.38
Cliente 1288,Gobierno,Ubicacion 47,a02aj000008MD5iAAG,9866.95
Cliente 1228,Mediana Empresa,Ubicacion 74,a02aj000008MD60AAG,37991.92
Cliente 806,Gobierno,Ubicacion 53,a02aj000008MD5fAAG,31438.73
Cliente 860,Gobierno,Ubicacion 12,a02aj000008MD5QAAW,24747.48
Cliente 1849,Gobierno,Ubicacion 17,a02aj000008MD5LAAW,42514.65
Cliente 1737,Corporativo,Ubicacion 66,a02aj000008MD6RAAW,39644.44
Cliente 1440,Mediana Empresa,Ubicacion 85,a02aj000008MD5HAAW,2486.31
Cliente 396,Corporativo,Ubicacion 24,a02aj000008MD5YAAW,13600.85
Cliente 1888,Corporativo,Ubicacion 80,a02aj000008MD5lAAG,1027.52
Cliente 782,Mediana Empresa,Ubicacion 30,a02aj000008MD5gAAG,17700.25
Cliente 478,Corporativo,Ubicacion 89,a02aj000008MD5mAAG,2775.11
Cliente 1129,Mediana Empresa,Ubicacion 75,a02aj000008MD6KAAW,28926.20
Cliente 1880,Corporativo,Ubicacion 68,a02aj000008MD5KAAW,40026.54
Cliente 909,Corporativo,Ubicacion 44,a02aj000008MD5bAAG,26836.25
Cliente 786,Gobierno,Ubicacion 57,a02aj000008MD5HAAW,16933.96
Cliente 629,Corporativo,Ubicacion 37,a02aj000008MD5HAAW,6978.15
Cliente 1385,Corporativo,Ubicacion 43,a02aj000008MD5fAAG,6414.88
Cliente 458,Gobierno,Ubicacion 66,a02aj000008MD64AAG,20579.41
Cliente 1093,Corporativo,Ubicacion 29,a02aj000008MD6JAAW,40910.39
Cliente 1765,Mediana Empresa,Ubicacion 70,a02aj000008MD5dAAG,28602.15
Cliente 937,Gobierno,Ubicacion 17,a02aj000008MD6PAAW,32143.16
Cliente 1851,Gobierno,Ubicacion 22,a02aj000008MD6AAAW,35298.99
Cliente 451,Corporativo,Ubicacion 58,a02aj000008MD6HAAW,43743.16
Cliente 435,Mediana Empresa,Ubicacion 23,a02aj000008MD61AAG,47546.06
Cliente 1547,Corporativo,Ubicacion 24,a02aj000008MD5jAAG,27626.97
Cliente 1260,Corporativo,Ubicacion 19,a02aj000008MD5sAAG,5930.30
Cliente 15,Mediana Empresa,Ubicacion 99,a02aj000008MD5jAAG,41759.64
Cliente 229,Gobierno,Ubicacion 22,a02aj000008MD5TAAW,20112.27
Cliente 353,Mediana Empresa,Ubicacion 66,a02aj000008MD5bAAG,38983.89
Cliente 1077,Corporativo,Ubicacion 17,a02aj000008MD5JAAW,44909.95
Cliente 1130,Corporativo,Ubicacion 11,a02aj000008MD6PAAW,41063.82
Cliente 1443,Corporativo,Ubicacion 71,a02aj000008MD5PAAW,45568.04
Cliente 189,Mediana Empresa,Ubicacion 9,a02aj000008MD5mAAG,31735.01
Cliente 1559,Corporativo,Ubicacion 36,a02aj000008MD5lAAG,30562.74
Cliente 1972,Corporativo,Ubicacion 1,a02aj000008MD5rAAG,6906.55
Cliente 1024,Corporativo,Ubicacion 79,a02aj000008MD5MAAW,37200.09
Cliente 190,Mediana Empresa,Ubicacion 46,a02aj000008MD5SAAW,38469.66
Cliente 1749,Mediana Empresa,Ubicacion 18,a02aj000008MD5NAAW,10926.50
Cliente 1475,Corporativo,Ubicacion 35,a02aj000008MD6BAAW,9445.82
Cliente 303,Corporativo,Ubicacion 28,a02aj000008MD5MAAW,29358.60
Cliente 1314,Corporativo,Ubicacion 20,a02aj000008MD5SAAW,10049.26
Cliente 560,Mediana Empresa,Ubicacion 49,a02aj000008MD6DAAW,49058.21
Cliente 446,Corporativo,Ubicacion 28,a02aj000008MD6PAAW,7553.12
Cliente 408,Corporativo,Ubicacion 70,a02aj000008MD68AAG,17874.57
Cliente 1165,Mediana Empresa,Ubicacion 55,a02aj000008MD5LAAW,23091.58
Cliente 974,Gobierno,Ubicacion 89,a02aj000008MD60AAG,35065.55
Cliente 1747,Gobierno,Ubicacion 49,a02aj000008MD66AAG,48084.73
Cliente 1852,Corporativo,Ubicacion 66,a02aj000008MD5XAAW,19899.77
Cliente 1255,Corporativo,Ubicacion 95,a02aj000008MD5oAAG,27942.35
Cliente 1938,Mediana Empresa,Ubicacion 87,a02aj000008MD5kAAG,32878.82
Cliente 691,Mediana Empresa,Ubicacion 63,a02aj000008MD6RAAW,6735.25
Cliente 1006,Mediana Empresa,Ubicacion 54,a02aj000008MD5WAAW,34714.82
Cliente 4,Corporativo,Ubicacion 76,a02aj000008MD6DAAW,40103.55
Cliente 991,Gobierno,Ubicacion 65,a02aj000008MD6LAAW,2422.61
Cliente 643,Mediana Empresa,Ubicacion 61,a02aj000008MD5aAAG,43759.68
Cliente 439,Gobierno,Ubicacion 36,a02aj000008MD6MAAW,18949.19
Cliente 7,Corporativo,Ubicacion 76,a02aj000008MD5XAAW,39893.50
Cliente 1285,Corporativo,Ubicacion 79,a02aj000008MD5zAAG,7466.60
Cliente 1367,Mediana Empresa,Ubicacion 52,a02aj000008MD5UAAW,9568.51
Cliente 1421,Corporativo,Ubicacion 62,a02aj000008MD5jAAG,11957.40
Cliente 52,Gobierno,Ubicacion 90,a02aj000008MD5LAAW,9357.78
Cliente 743,Mediana Empresa,Ubicacion 14,a02aj000008MD6QAAW,4609.90
Cliente 327,Gobierno,Ubicacion 76,a02aj000008MD6MAAW,6985.73
Cliente 186,Mediana Empresa,Ubicacion 26,a02aj000008MD5YAAW,12168.75
Cliente 789,Gobierno,Ubicacion 73,a02aj000008MD5sAAG,39174.05
Cliente 1519,Gobierno,Ubicacion 62,a02aj000008MD5LAAW,13047.41
Cliente 1936,Gobierno,Ubicacion 66,a02aj000008MD5zAAG,8730.82
Cliente 1635,Corporativo,Ubicacion 36,a02aj000008MD5nAAG,39585.11
Cliente 1819,Mediana Empresa,Ubicacion 99,a02aj000008MD5IAAW,47085.63
Cliente 1379,Mediana Empresa,Ubicacion 17,a02aj000008MD6HAAW,34388.98
Cliente 1036,Mediana Empresa,Ubicacion 19,a02aj000008MD5VAAW,9162.16
Cliente 1850,Gobierno,Ubicacion 78,a02aj000008MD6OAAW,13815.93
Cliente 509,Corporativo,Ubicacion 30,a02aj000008MD5MAAW,33451.33
Cliente 431,Corporativo,Ubicacion 74,a02aj000008MD5qAAG,28923.56
Cliente 604,Corporativo,Ubicacion 95,a02aj000008MD5oAAG,29072.26
Cliente 437,Gobierno,Ubicacion 91,a02aj000008MD5IAAW,23063.12
Cliente 1976,Gobierno,Ubicacion 100,a02aj000008MD6AAAW,44976.21
Cliente 1664,Corporativo,Ubicacion 2,a02aj000008MD5sAAG,27588.72
Cliente 581,Corporativo,Ubicacion 84,a02aj000008MD5PAAW,34038.55
Cliente 758,Corporativo,Ubicacion 79,a02aj000008MD5RAAW,36977.24
Cliente 1532,Mediana Empresa,Ubicacion 36,a02aj000008MD5PAAW,20670.53
Cliente 1015,Mediana Empresa,Ubicacion 96,a02aj000008MD6FAAW,36400.28
Cliente 1636,Mediana Empresa,Ubicacion 20,a02aj000008MD6GAAW,29971.18
Cliente 814,Corporativo,Ubicacion 25,a02aj000008MD69AAG,41834.47
Cliente 306,Corporativo,Ubicacion 42,a02aj000008MD5qAAG,47857.32
Cliente 1762,Corporativo,Ubicacion 58,a02aj000008MD5cAAG,22168.22
Cliente 1510,Gobierno,Ubicacion 32,a02aj000008MD5gAAG,11430.62
Cliente 1499,Mediana Empresa,Ubicacion 73,a02aj000008MD5xAAG,7985.24
Cliente 1191,Corporativo,Ubicacion 85,a02aj000008MD6NAAW,32256.08
Cliente 85,Corporativo,Ubicacion 6,a02aj000008MD6KAAW,32650.69
Cliente 1376,Mediana Empresa,Ubicacion 21,a02aj000008MD5lAAG,41179.62
Cliente 790,Mediana Empresa,Ubicacion 52,a02aj000008MD5eAAG,6154.49
Cliente 1304,Corporativo,Ubicacion 68,a02aj000008MD5cAAG,8609.42
Cliente 284,Corporativo,Ubicacion 10,a02aj000008MD5tAAG,13488.04
Cliente 1351,Mediana Empresa,Ubicacion 72,a02aj000008MD5NAAW,46796.10
Cliente 1960,Mediana Empresa,Ubicacion 21,a02aj000008MD5IAAW,46074.29
Cliente 733,Corporativo,Ubicacion 63,a02aj000008MD5sAAG,2311.54
Cliente 1575,Mediana Empresa,Ubicacion 90,a02aj000008MD5KAAW,6045.17
Cliente 922,Corporativo,Ubicacion 17,a02aj000008MD69AAG,18847.93
Cliente 114,Corporativo,Ubicacion 57,a02aj000008MD6JAAW,14427.66
Cliente 1800,Corporativo,Ubicacion 93,a02aj000008MD6EAAW,19265.27
Cliente 1344,Gobierno,Ubicacion 16,a02aj000008MD6IAAW,23628.07
Cliente 1210,Corporativo,Ubicacion 60,a02aj000008MD5pAAG,20777.76
Cliente 1774,Corporativo,Ubicacion 99,a02aj000008MD5LAAW,19931.34
Cliente 1801,Gobierno,Ubicacion 58,a02aj000008MD69AAG,7664.44
Cliente 1371,Corporativo,Ubicacion 12,a02aj000008MD6CAAW,36393.73
Cliente 1861,Gobierno,Ubicacion 100,a02aj000008MD5OAAW,31545.65
Cliente 1770,Corporativo,Ubicacion 63,a02aj000008MD5IAAW,23711.12
Cliente 374,Mediana Empresa,Ubicacion 61,a02aj000008MD5QAAW,16236.90
Cliente 953,Gobierno,Ubicacion 29,a02aj000008MD5nAAG,30818.22
Cliente 493,Corporativo,Ubicacion 17,a02aj000008MD5gAAG,40084.60
Cliente 847,Mediana Empresa,Ubicacion 7,a02aj000008MD5nAAG,17473.28
Cliente 3,Gobierno,Ubicacion 5,a02aj000008MD5zAAG,1504.34
Cliente 9,Mediana Empresa,Ubicacion 96,a02aj000008MD5WAAW,12484.61
Cliente 427,Corporativo,Ubicacion 38,a02aj000008MD5mAAG,44310.80
Cliente 864,Corporativo,Ubicacion 61,a02aj000008MD5mAAG,18106.21
Cliente 1917,Gobierno,Ubicacion 96,a02aj000008MD5vAAG,5250.91
Cliente 1970,Mediana Empresa,Ubicacion 43,a02aj000008MD5fAAG,48808.93
Cliente 289,Gobierno,Ubicacion 35,a02aj000008MD5TAAW,37101.18
Cliente 898,Gobierno,Ubicacion 39,a02aj000008MD6IAAW,43346.04
Cliente 37,Gobierno,Ubicacion 39,a02aj000008MD5GAAW,49320.69
Cliente 1457,Corporativo,Ubicacion 18,a02aj000008MD6RAAW,23760.12
Cliente 1137,Gobierno,Ubicacion 66,a02aj000008MD5pAAG,30096.76
Cliente 1832,Corporativo,Ubicacion 56,a02aj000008MD5bAAG,33022.54
Cliente 1878,Corporativo,Ubicacion 83,a02aj000008MD5gAAG,17441.37
Cliente 1993,Corporativo,Ubicacion 31,a02aj000008MD5vAAG,3403.80
Cliente 851,Corporativo,Ubicacion 79,a02aj000008MD5XAAW,7839.07
Cliente 1118,Mediana Empresa,Ubicacion 80,a02aj000008MD6MAAW,33329.81
Cliente 347,Corporativo,Ubicacion 84,a02aj000008MD5vAAG,15146.05
Cliente 32,Mediana Empresa,Ubicacion 24,a02aj000008MD6MAAW,12695.65
Cliente 462,Corporativo,Ubicacion 62,a02aj000008MD6FAAW,30881.09
Cliente 783,Corporativo,Ubicacion 13,a02aj000008MD69AAG,26990.20
Cliente 61,Gobierno,Ubicacion 84,a02aj000008MD6QAAW,2105.43
Cliente 142,Mediana Empresa,Ubicacion 5,a02aj000008MD5jAAG,10133.05
Cliente 479,Corporativo,Ubicacion 12,a02aj000008MD67AAG,37238.26
Cliente 72,Mediana Empresa,Ubicacion 19,a02aj000008MD5iAAG,12400.62
Cliente 1065,Gobierno,Ubicacion 48,a02aj000008MD5mAAG,46203.57
Cliente 287,Corporativo,Ubicacion 97,a02aj000008MD67AAG,16083.61
Cliente 161,Gobierno,Ubicacion 57,a02aj000008MD5uAAG,44351.60
Cliente 1140,Corporativo,Ubicacion 62,a02aj000008MD5FAAW,3917.14
Cliente 969,Gobierno,Ubicacion 75,a02aj000008MD5HAAW,26351.48
Cliente 94,Mediana Empresa,Ubicacion 40,a02aj000008MD5yAAG,35353.83
Cliente 1026,Corporativo,Ubicacion 92,a02aj000008MD5ZAAW,32037.70
Cliente 1423,Corporativo,Ubicacion 20,a02aj000008MD5IAAW,41652.85
Cliente 59,Mediana Empresa,Ubicacion 82,a02aj000008MD65AAG,37915.09
Cliente 1694,Corporativo,Ubicacion 54,a02aj000008MD60AAG,30560.09
