Nombre de la Empresa,Tipo de Cliente,Ubicación,Ejecutivo de Cuenta,Volumen de Compra Mensual
Cliente 400,Mediana Empresa,Ubicación 21,Empleado 89,29551.03
Cliente 401,Mediana Empresa,Ubicación 30,Empleado 31,30411.28
Cliente 402,Pequeña Empresa,Ubicación 94,Empleado 44,14668.47
Cliente 403,Corporativo,Ubicación 44,Empleado 31,17767.26
Cliente 404,Pequeña Empresa,Ubicación 25,Empleado 2,30414.19
Cliente 405,Gobierno,Ubicación 71,Empleado 75,25366.24
Cliente 406,Pequeña Empresa,Ubicación 90,Empleado 30,44654.71
Cliente 407,Pequeña Empresa,Ubicación 24,Empleado 36,31037.72
Cliente 408,Pequeña Empresa,Ubicación 70,Empleado 79,17874.57
Cliente 409,Gobierno,Ubicación 69,Empleado 71,21916.88
Cliente 410,Pequeña Empresa,Ubicación 26,Empleado 34,30703.43
Cliente 411,Pequeña Empresa,Ubicación 92,Empleado 27,24609.81
Cliente 412,Gobierno,Ubicación 23,Empleado 60,43406.48
Cliente 413,Pequeña Empresa,Ubicación 10,Empleado 88,19148.82
Cliente 414,Mediana Empresa,Ubicación 16,Empleado 78,882.55
Cliente 415,Corporativo,Ubicación 21,Empleado 19,45623.79
Cliente 416,Gobierno,Ubicación 87,Empleado 23,40739.47
Cliente 417,Corporativo,Ubicación 66,Empleado 89,40889.08
Cliente 418,Mediana Empresa,Ubicación 54,Empleado 15,9203.17
Cliente 419,Mediana Empresa,Ubicación 57,Empleado 96,29184.37
Cliente 420,Pequeña Empresa,Ubicación 59,Empleado 95,24411.23
Cliente 421,Gobierno,Ubicación 58,Empleado 90,5177.77
Cliente 422,Corporativo,Ubicación 11,Empleado 84,46092.74
Cliente 423,Mediana Empresa,Ubicación 74,Empleado 60,25230.6
Cliente 424,Corporativo,Ubicación 95,Empleado 30,34117.43
Cliente 425,Mediana Empresa,Ubicación 78,Empleado 33,26067.41
Cliente 426,Mediana Empresa,Ubicación 32,Empleado 35,8709.42
Cliente 427,Corporativo,Ubicación 38,Empleado 29,44310.8
Cliente 428,Corporativo,Ubicación 68,Empleado 96,27023.06
Cliente 429,Corporativo,Ubicación 92,Empleado 62,45783.04
Cliente 430,Mediana Empresa,Ubicación 74,Empleado 72,19342.55
Cliente 431,Pequeña Empresa,Ubicación 74,Empleado 66,28923.56
Cliente 432,Corporativo,Ubicación 25,Empleado 82,17405.61
Cliente 433,Mediana Empresa,Ubicación 92,Empleado 49,24467.96
Cliente 434,Mediana Empresa,Ubicación 84,Empleado 19,35172.7
Cliente 435,Mediana Empresa,Ubicación 23,Empleado 63,47546.06
Cliente 436,Pequeña Empresa,Ubicación 79,Empleado 95,5762.12
Cliente 437,Gobierno,Ubicación 91,Empleado 46,23063.12
Cliente 438,Corporativo,Ubicación 4,Empleado 35,49016.12
Cliente 439,Gobierno,Ubicación 36,Empleado 98,18949.19
Cliente 440,Mediana Empresa,Ubicación 35,Empleado 72,37067.88
Cliente 441,Mediana Empresa,Ubicación 68,Empleado 50,46319.21
Cliente 442,Pequeña Empresa,Ubicación 77,Empleado 44,36956.19
Cliente 443,Pequeña Empresa,Ubicación 83,Empleado 53,32350.21
Cliente 444,Mediana Empresa,Ubicación 68,Empleado 93,4537.9
Cliente 445,Gobierno,Ubicación 49,Empleado 45,39830.42
Cliente 446,Corporativo,Ubicación 28,Empleado 59,7553.12
Cliente 447,Pequeña Empresa,Ubicación 19,Empleado 8,48571.78
Cliente 448,Gobierno,Ubicación 56,Empleado 88,25582.39
Cliente 449,Gobierno,Ubicación 26,Empleado 7,5213.24
Cliente 450,Corporativo,Ubicación 56,Empleado 30,27664.26
Cliente 451,Corporativo,Ubicación 58,Empleado 51,43743.16
Cliente 452,Mediana Empresa,Ubicación 29,Empleado 84,47208.69
Cliente 453,Mediana Empresa,Ubicación 90,Empleado 79,32588.39
Cliente 454,Mediana Empresa,Ubicación 62,Empleado 67,27005.37
Cliente 455,Gobierno,Ubicación 65,Empleado 58,946.13
Cliente 456,Pequeña Empresa,Ubicación 61,Empleado 87,16931.31
Cliente 457,Mediana Empresa,Ubicación 90,Empleado 44,31303.75
Cliente 458,Gobierno,Ubicación 66,Empleado 4,20579.41
Cliente 459,Mediana Empresa,Ubicación 24,Empleado 61,21801.09
Cliente 460,Mediana Empresa,Ubicación 21,Empleado 11,16857.16
Cliente 461,Mediana Empresa,Ubicación 41,Empleado 68,6598.69
Cliente 462,Corporativo,Ubicación 62,Empleado 55,30881.09
Cliente 463,Gobierno,Ubicación 72,Empleado 9,4744.63
Cliente 464,Corporativo,Ubicación 75,Empleado 63,33299.6
Cliente 465,Pequeña Empresa,Ubicación 21,Empleado 69,4293.26
Cliente 466,Gobierno,Ubicación 71,Empleado 4,31706.94
Cliente 467,Corporativo,Ubicación 41,Empleado 99,14540.87
Cliente 468,Pequeña Empresa,Ubicación 81,Empleado 16,18191.11
Cliente 469,Pequeña Empresa,Ubicación 92,Empleado 6,17101.11
Cliente 470,Corporativo,Ubicación 17,Empleado 58,37284.29
Cliente 471,Gobierno,Ubicación 35,Empleado 79,6563.52
Cliente 472,Pequeña Empresa,Ubicación 37,Empleado 26,2471.02
Cliente 473,Mediana Empresa,Ubicación 8,Empleado 21,29155.62
Cliente 474,Mediana Empresa,Ubicación 85,Empleado 50,5426.48
Cliente 475,Corporativo,Ubicación 57,Empleado 87,21605.82
Cliente 476,Pequeña Empresa,Ubicación 23,Empleado 19,780.63
Cliente 477,Pequeña Empresa,Ubicación 81,Empleado 3,12293.91
Cliente 478,Pequeña Empresa,Ubicación 89,Empleado 29,2775.11
Cliente 479,Pequeña Empresa,Ubicación 12,Empleado 9,37238.26
Cliente 480,Gobierno,Ubicación 11,Empleado 80,29794.29
Cliente 481,Pequeña Empresa,Ubicación 74,Empleado 12,21106.04
Cliente 482,Gobierno,Ubicación 55,Empleado 41,35642.58
Cliente 483,Pequeña Empresa,Ubicación 76,Empleado 29,28330.01
Cliente 484,Mediana Empresa,Ubicación 9,Empleado 78,18177.38
Cliente 485,Mediana Empresa,Ubicación 30,Empleado 6,47153.49
Cliente 486,Mediana Empresa,Ubicación 7,Empleado 56,1028.61
Cliente 487,Pequeña Empresa,Ubicación 81,Empleado 3,15691.0
Cliente 488,Corporativo,Ubicación 55,Empleado 80,6974.58
Cliente 489,Mediana Empresa,Ubicación 21,Empleado 28,19742.9
Cliente 490,Mediana Empresa,Ubicación 50,Empleado 68,6904.79
Cliente 491,Gobierno,Ubicación 30,Empleado 29,19091.34
Cliente 492,Corporativo,Ubicación 7,Empleado 86,48790.86
Cliente 493,Corporativo,Ubicación 17,Empleado 97,40084.6
Cliente 494,Corporativo,Ubicación 36,Empleado 70,49270.78
Cliente 495,Corporativo,Ubicación 19,Empleado 72,44414.73
Cliente 496,Gobierno,Ubicación 85,Empleado 48,46027.32
Cliente 497,Corporativo,Ubicación 39,Empleado 25,11730.55
Cliente 498,Mediana Empresa,Ubicación 66,Empleado 84,13226.39
Cliente 499,Corporativo,Ubicación 85,Empleado 69,36676.92
Cliente 500,Pequeña Empresa,Ubicación 6,Empleado 32,19625.21
Cliente 501,Mediana Empresa,Ubicación 16,Empleado 4,27651.09
Cliente 502,Pequeña Empresa,Ubicación 64,Empleado 3,21067.58
Cliente 503,Mediana Empresa,Ubicación 13,Empleado 82,41812.98
Cliente 504,Mediana Empresa,Ubicación 91,Empleado 41,25379.87
Cliente 505,Pequeña Empresa,Ubicación 35,Empleado 12,18551.44
Cliente 506,Mediana Empresa,Ubicación 82,Empleado 77,43737.78
Cliente 507,Mediana Empresa,Ubicación 63,Empleado 44,1474.5
Cliente 508,Mediana Empresa,Ubicación 17,Empleado 14,12403.96
Cliente 509,Corporativo,Ubicación 30,Empleado 81,33451.33
Cliente 510,Mediana Empresa,Ubicación 86,Empleado 61,13977.08
Cliente 511,Mediana Empresa,Ubicación 97,Empleado 63,19091.86
Cliente 512,Gobierno,Ubicación 44,Empleado 13,41958.02
Cliente 513,Corporativo,Ubicación 54,Empleado 56,27065.23
Cliente 514,Pequeña Empresa,Ubicación 25,Empleado 44,47936.51
Cliente 515,Gobierno,Ubicación 75,Empleado 11,4082.94
Cliente 516,Mediana Empresa,Ubicación 1,Empleado 53,40548.8
Cliente 517,Mediana Empresa,Ubicación 41,Empleado 16,21244.36
Cliente 518,Gobierno,Ubicación 7,Empleado 83,46197.17
Cliente 519,Mediana Empresa,Ubicación 29,Empleado 61,27332.66
Cliente 520,Mediana Empresa,Ubicación 67,Empleado 36,43205.93
Cliente 521,Pequeña Empresa,Ubicación 69,Empleado 38,45551.53
Cliente 522,Pequeña Empresa,Ubicación 69,Empleado 93,13184.12
Cliente 523,Gobierno,Ubicación 1,Empleado 62,28574.64
Cliente 524,Corporativo,Ubicación 17,Empleado 49,10205.49
Cliente 525,Mediana Empresa,Ubicación 80,Empleado 73,42875.17
Cliente 526,Corporativo,Ubicación 91,Empleado 22,9444.6
Cliente 527,Mediana Empresa,Ubicación 53,Empleado 49,24356.54
Cliente 528,Corporativo,Ubicación 71,Empleado 63,37209.82
Cliente 529,Pequeña Empresa,Ubicación 42,Empleado 10,25207.89
Cliente 530,Gobierno,Ubicación 18,Empleado 4,46096.71
Cliente 531,Gobierno,Ubicación 100,Empleado 85,25946.64
Cliente 532,Corporativo,Ubicación 1,Empleado 89,37483.43
Cliente 533,Mediana Empresa,Ubicación 49,Empleado 55,45492.67
Cliente 534,Gobierno,Ubicación 6,Empleado 95,41780.49
Cliente 535,Corporativo,Ubicación 97,Empleado 76,34075.22
Cliente 536,Gobierno,Ubicación 84,Empleado 54,25515.08
Cliente 537,Gobierno,Ubicación 28,Empleado 76,2328.23
Cliente 538,Gobierno,Ubicación 48,Empleado 50,32154.11
Cliente 539,Pequeña Empresa,Ubicación 56,Empleado 86,45925.15
Cliente 540,Gobierno,Ubicación 15,Empleado 18,32887.15
Cliente 541,Gobierno,Ubicación 43,Empleado 53,12560.76
Cliente 542,Gobierno,Ubicación 3,Empleado 58,17955.77
Cliente 543,Corporativo,Ubicación 55,Empleado 38,30369.49
Cliente 544,Mediana Empresa,Ubicación 33,Empleado 4,26874.05
Cliente 545,Gobierno,Ubicación 44,Empleado 98,22424.82
Cliente 546,Corporativo,Ubicación 63,Empleado 100,5525.82
Cliente 547,Pequeña Empresa,Ubicación 53,Empleado 46,27520.97
Cliente 548,Pequeña Empresa,Ubicación 69,Empleado 70,21636.07
Cliente 549,Mediana Empresa,Ubicación 7,Empleado 17,2643.25
Cliente 550,Gobierno,Ubicación 78,Empleado 33,4038.08
Cliente 551,Mediana Empresa,Ubicación 85,Empleado 88,1558.07
Cliente 552,Gobierno,Ubicación 12,Empleado 48,21055.06
Cliente 553,Mediana Empresa,Ubicación 1,Empleado 50,45573.39
Cliente 554,Corporativo,Ubicación 50,Empleado 2,44382.83
Cliente 555,Pequeña Empresa,Ubicación 93,Empleado 37,19585.31
Cliente 556,Mediana Empresa,Ubicación 51,Empleado 84,29726.72
Cliente 557,Gobierno,Ubicación 21,Empleado 42,8209.58
Cliente 558,Corporativo,Ubicación 90,Empleado 87,18982.44
Cliente 559,Gobierno,Ubicación 13,Empleado 14,15309.9
Cliente 560,Mediana Empresa,Ubicación 49,Empleado 57,49058.21
Cliente 561,Gobierno,Ubicación 50,Empleado 38,16534.17
Cliente 562,Pequeña Empresa,Ubicación 39,Empleado 14,45598.46
Cliente 563,Pequeña Empresa,Ubicación 94,Empleado 42,8770.24
Cliente 564,Mediana Empresa,Ubicación 100,Empleado 13,35077.18
Cliente 565,Mediana Empresa,Ubicación 99,Empleado 48,9138.57
Cliente 566,Pequeña Empresa,Ubicación 8,Empleado 76,35899.77
Cliente 567,Pequeña Empresa,Ubicación 84,Empleado 98,13273.02
Cliente 568,Pequeña Empresa,Ubicación 66,Empleado 93,14547.45
Cliente 569,Mediana Empresa,Ubicación 76,Empleado 71,21146.34
Cliente 570,Mediana Empresa,Ubicación 92,Empleado 52,41111.02
Cliente 571,Mediana Empresa,Ubicación 25,Empleado 35,48212.9
Cliente 572,Mediana Empresa,Ubicación 71,Empleado 40,27184.5
Cliente 573,Gobierno,Ubicación 63,Empleado 72,32048.46
Cliente 574,Mediana Empresa,Ubicación 66,Empleado 79,15249.03
Cliente 575,Mediana Empresa,Ubicación 38,Empleado 42,46065.37
Cliente 576,Gobierno,Ubicación 21,Empleado 69,36375.15
Cliente 577,Gobierno,Ubicación 38,Empleado 24,42191.99
Cliente 578,Gobierno,Ubicación 99,Empleado 26,17040.19
Cliente 579,Pequeña Empresa,Ubicación 1,Empleado 78,10219.77
Cliente 580,Gobierno,Ubicación 35,Empleado 91,43792.76
Cliente 581,Corporativo,Ubicación 84,Empleado 19,34038.55
Cliente 582,Mediana Empresa,Ubicación 4,Empleado 68,29911.8
Cliente 583,Pequeña Empresa,Ubicación 25,Empleado 71,44005.58
Cliente 584,Gobierno,Ubicación 76,Empleado 16,32863.42
Cliente 585,Mediana Empresa,Ubicación 25,Empleado 49,21401.38
Cliente 586,Mediana Empresa,Ubicación 51,Empleado 19,47552.63
Cliente 587,Corporativo,Ubicación 11,Empleado 14,36931.8
Cliente 588,Pequeña Empresa,Ubicación 77,Empleado 72,4492.64
Cliente 589,Corporativo,Ubicación 54,Empleado 19,22242.22
Cliente 590,Pequeña Empresa,Ubicación 49,Empleado 83,9851.76
Cliente 591,Pequeña Empresa,Ubicación 38,Empleado 69,27862.61
Cliente 592,Pequeña Empresa,Ubicación 71,Empleado 79,21829.76
Cliente 593,Gobierno,Ubicación 7,Empleado 77,11730.93
Cliente 594,Gobierno,Ubicación 41,Empleado 82,39381.96
Cliente 595,Corporativo,Ubicación 64,Empleado 41,11231.76
Cliente 596,Mediana Empresa,Ubicación 35,Empleado 1,8278.31
Cliente 597,Mediana Empresa,Ubicación 79,Empleado 25,31198.81
Cliente 598,Gobierno,Ubicación 63,Empleado 55,3119.38
Cliente 599,Gobierno,Ubicación 40,Empleado 58,33359.85
Cliente 600,Mediana Empresa,Ubicación 93,Empleado 97,3957.83
Cliente 601,Mediana Empresa,Ubicación 87,Empleado 38,37075.61
Cliente 602,Corporativo,Ubicación 48,Empleado 40,5986.15
Cliente 603,Gobierno,Ubicación 6,Empleado 93,10375.43
Cliente 604,Corporativo,Ubicación 95,Empleado 6,29072.26
Cliente 605,Gobierno,Ubicación 51,Empleado 89,40277.66
Cliente 606,Corporativo,Ubicación 68,Empleado 9,3074.5
Cliente 607,Gobierno,Ubicación 48,Empleado 58,17512.64
Cliente 608,Mediana Empresa,Ubicación 41,Empleado 75,26738.22
Cliente 609,Corporativo,Ubicación 45,Empleado 83,28799.86
Cliente 610,Corporativo,Ubicación 56,Empleado 30,47795.55
Cliente 611,Gobierno,Ubicación 25,Empleado 79,42287.35
Cliente 612,Pequeña Empresa,Ubicación 23,Empleado 22,6001.25
Cliente 613,Pequeña Empresa,Ubicación 14,Empleado 46,40997.24
Cliente 614,Mediana Empresa,Ubicación 78,Empleado 22,38059.86
Cliente 615,Gobierno,Ubicación 55,Empleado 98,9900.86
Cliente 616,Mediana Empresa,Ubicación 73,Empleado 20,37153.03
Cliente 617,Corporativo,Ubicación 79,Empleado 57,26677.69
Cliente 618,Pequeña Empresa,Ubicación 67,Empleado 78,11132.01
Cliente 619,Gobierno,Ubicación 41,Empleado 12,19718.0
Cliente 620,Gobierno,Ubicación 78,Empleado 3,26277.46
Cliente 621,Mediana Empresa,Ubicación 26,Empleado 53,18823.48
Cliente 622,Gobierno,Ubicación 21,Empleado 20,27988.46
Cliente 623,Mediana Empresa,Ubicación 90,Empleado 90,27565.35
Cliente 624,Corporativo,Ubicación 93,Empleado 17,35823.32
Cliente 625,Mediana Empresa,Ubicación 82,Empleado 14,10768.89
Cliente 626,Mediana Empresa,Ubicación 56,Empleado 36,19959.73
Cliente 627,Corporativo,Ubicación 66,Empleado 6,11850.31
Cliente 628,Gobierno,Ubicación 15,Empleado 76,8908.95
Cliente 629,Corporativo,Ubicación 37,Empleado 71,6978.15
Cliente 630,Mediana Empresa,Ubicación 21,Empleado 95,29415.18
Cliente 631,Mediana Empresa,Ubicación 97,Empleado 83,43153.42
Cliente 632,Corporativo,Ubicación 42,Empleado 31,40617.51
Cliente 633,Gobierno,Ubicación 61,Empleado 11,21492.27
Cliente 634,Mediana Empresa,Ubicación 100,Empleado 73,40181.38
Cliente 635,Mediana Empresa,Ubicación 94,Empleado 71,9157.9
Cliente 636,Corporativo,Ubicación 45,Empleado 93,3810.43
Cliente 637,Gobierno,Ubicación 56,Empleado 85,37872.44
Cliente 638,Corporativo,Ubicación 4,Empleado 16,18924.16
Cliente 639,Corporativo,Ubicación 37,Empleado 55,22588.66
Cliente 640,Corporativo,Ubicación 50,Empleado 7,42732.47
Cliente 641,Pequeña Empresa,Ubicación 72,Empleado 23,47571.9
Cliente 642,Corporativo,Ubicación 63,Empleado 85,7129.79
Cliente 643,Mediana Empresa,Ubicación 61,Empleado 89,43759.68
Cliente 644,Corporativo,Ubicación 75,Empleado 5,44540.2
Cliente 645,Pequeña Empresa,Ubicación 22,Empleado 53,47118.46
Cliente 646,Corporativo,Ubicación 3,Empleado 92,20109.06
Cliente 647,Corporativo,Ubicación 97,Empleado 73,31327.04
Cliente 648,Corporativo,Ubicación 82,Empleado 18,31700.42
Cliente 649,Mediana Empresa,Ubicación 99,Empleado 53,25269.93
Cliente 650,Mediana Empresa,Ubicación 27,Empleado 98,27962.51
Cliente 651,Corporativo,Ubicación 99,Empleado 70,5270.19
Cliente 652,Gobierno,Ubicación 39,Empleado 33,10504.01
Cliente 653,Corporativo,Ubicación 35,Empleado 1,25510.4
Cliente 654,Corporativo,Ubicación 44,Empleado 56,13475.23
Cliente 655,Gobierno,Ubicación 65,Empleado 12,2605.49
Cliente 656,Gobierno,Ubicación 86,Empleado 60,18372.97
Cliente 657,Corporativo,Ubicación 19,Empleado 71,44527.23
Cliente 658,Mediana Empresa,Ubicación 64,Empleado 38,29697.78
Cliente 659,Mediana Empresa,Ubicación 84,Empleado 77,6966.83
Cliente 660,Mediana Empresa,Ubicación 47,Empleado 14,27022.51
Cliente 661,Gobierno,Ubicación 55,Empleado 72,32389.4
Cliente 662,Pequeña Empresa,Ubicación 2,Empleado 72,36387.87
Cliente 663,Corporativo,Ubicación 65,Empleado 23,12433.46
Cliente 664,Pequeña Empresa,Ubicación 54,Empleado 5,11707.47
Cliente 665,Corporativo,Ubicación 26,Empleado 6,49984.87
Cliente 666,Corporativo,Ubicación 83,Empleado 52,16369.04
Cliente 667,Mediana Empresa,Ubicación 98,Empleado 85,40406.09
Cliente 668,Corporativo,Ubicación 38,Empleado 90,2460.39
Cliente 669,Mediana Empresa,Ubicación 51,Empleado 38,27689.19
Cliente 670,Gobierno,Ubicación 4,Empleado 100,14523.79
Cliente 671,Mediana Empresa,Ubicación 90,Empleado 68,11249.26
Cliente 672,Pequeña Empresa,Ubicación 90,Empleado 56,15809.13
Cliente 673,Mediana Empresa,Ubicación 78,Empleado 13,14045.62
Cliente 674,Gobierno,Ubicación 56,Empleado 74,8462.56
Cliente 675,Pequeña Empresa,Ubicación 25,Empleado 48,2931.8
Cliente 676,Gobierno,Ubicación 70,Empleado 23,46769.43
Cliente 677,Gobierno,Ubicación 45,Empleado 6,47765.38
Cliente 678,Mediana Empresa,Ubicación 58,Empleado 6,43546.5
Cliente 679,Pequeña Empresa,Ubicación 54,Empleado 32,31107.14
Cliente 680,Gobierno,Ubicación 91,Empleado 55,35421.17
Cliente 681,Corporativo,Ubicación 94,Empleado 90,3093.51
Cliente 682,Corporativo,Ubicación 77,Empleado 68,45758.54
Cliente 683,Corporativo,Ubicación 53,Empleado 28,39921.63
Cliente 684,Gobierno,Ubicación 26,Empleado 77,31391.09
Cliente 685,Gobierno,Ubicación 59,Empleado 51,8388.02
Cliente 686,Pequeña Empresa,Ubicación 46,Empleado 97,13786.62
Cliente 687,Corporativo,Ubicación 86,Empleado 46,5305.0
Cliente 688,Pequeña Empresa,Ubicación 45,Empleado 38,30144.57
Cliente 689,Corporativo,Ubicación 20,Empleado 81,19752.29
Cliente 690,Gobierno,Ubicación 70,Empleado 25,14128.53
Cliente 691,Mediana Empresa,Ubicación 63,Empleado 99,6735.25
Cliente 692,Corporativo,Ubicación 2,Empleado 17,17219.32
Cliente 693,Corporativo,Ubicación 22,Empleado 14,36192.14
Cliente 694,Mediana Empresa,Ubicación 41,Empleado 11,27340.94
Cliente 695,Corporativo,Ubicación 69,Empleado 80,35358.69
Cliente 696,Pequeña Empresa,Ubicación 39,Empleado 54,42210.96
Cliente 697,Corporativo,Ubicación 3,Empleado 28,29587.75
Cliente 698,Mediana Empresa,Ubicación 93,Empleado 1,36765.35
Cliente 699,Gobierno,Ubicación 42,Empleado 23,11918.03
Cliente 700,Pequeña Empresa,Ubicación 21,Empleado 13,1523.5
Cliente 701,Mediana Empresa,Ubicación 47,Empleado 76,30681.95
Cliente 702,Gobierno,Ubicación 5,Empleado 72,30624.14
Cliente 703,Pequeña Empresa,Ubicación 67,Empleado 45,23892.67
Cliente 704,Corporativo,Ubicación 61,Empleado 98,22822.09
Cliente 705,Pequeña Empresa,Ubicación 21,Empleado 25,3192.13
Cliente 706,Gobierno,Ubicación 78,Empleado 74,34726.45
Cliente 707,Mediana Empresa,Ubicación 95,Empleado 8,40297.12
Cliente 708,Mediana Empresa,Ubicación 80,Empleado 76,25645.17
Cliente 709,Mediana Empresa,Ubicación 93,Empleado 41,7329.24
Cliente 710,Gobierno,Ubicación 7,Empleado 79,33225.85
Cliente 711,Mediana Empresa,Ubicación 58,Empleado 83,3557.02
Cliente 712,Pequeña Empresa,Ubicación 71,Empleado 57,37811.13
Cliente 713,Mediana Empresa,Ubicación 57,Empleado 36,32103.48
Cliente 714,Corporativo,Ubicación 89,Empleado 67,23943.8
Cliente 715,Pequeña Empresa,Ubicación 58,Empleado 29,35647.36
Cliente 716,Gobierno,Ubicación 23,Empleado 67,37609.83
Cliente 717,Corporativo,Ubicación 99,Empleado 20,13011.18
Cliente 718,Mediana Empresa,Ubicación 3,Empleado 98,43464.31
Cliente 719,Pequeña Empresa,Ubicación 24,Empleado 61,3858.87
Cliente 720,Mediana Empresa,Ubicación 65,Empleado 51,16478.01
Cliente 721,Mediana Empresa,Ubicación 34,Empleado 92,13718.16
Cliente 722,Pequeña Empresa,Ubicación 95,Empleado 81,29175.61
Cliente 723,Gobierno,Ubicación 51,Empleado 12,6765.75
Cliente 724,Gobierno,Ubicación 37,Empleado 92,11281.68
Cliente 725,Mediana Empresa,Ubicación 16,Empleado 47,8954.88
Cliente 726,Pequeña Empresa,Ubicación 50,Empleado 39,27355.46
Cliente 727,Pequeña Empresa,Ubicación 99,Empleado 22,11948.24
Cliente 728,Gobierno,Ubicación 2,Empleado 92,20122.95
Cliente 729,Mediana Empresa,Ubicación 69,Empleado 50,35751.19
Cliente 730,Mediana Empresa,Ubicación 30,Empleado 14,28763.75
Cliente 731,Corporativo,Ubicación 66,Empleado 78,39759.42
Cliente 732,Pequeña Empresa,Ubicación 88,Empleado 86,3666.72
Cliente 733,Pequeña Empresa,Ubicación 63,Empleado 17,2311.54
Cliente 734,Gobierno,Ubicación 90,Empleado 61,3973.02
Cliente 735,Gobierno,Ubicación 77,Empleado 62,48694.47
Cliente 736,Gobierno,Ubicación 71,Empleado 67,6006.28
Cliente 737,Mediana Empresa,Ubicación 32,Empleado 69,5604.79
Cliente 738,Pequeña Empresa,Ubicación 53,Empleado 24,43097.82
Cliente 739,Mediana Empresa,Ubicación 35,Empleado 93,20667.5
Cliente 740,Pequeña Empresa,Ubicación 5,Empleado 93,29708.65
Cliente 741,Pequeña Empresa,Ubicación 80,Empleado 27,18339.41
Cliente 742,Corporativo,Ubicación 65,Empleado 32,33153.84
Cliente 743,Mediana Empresa,Ubicación 14,Empleado 49,4609.9
Cliente 744,Corporativo,Ubicación 68,Empleado 68,25843.6
Cliente 745,Pequeña Empresa,Ubicación 56,Empleado 52,7744.0
Cliente 746,Corporativo,Ubicación 79,Empleado 93,49715.85
Cliente 747,Gobierno,Ubicación 29,Empleado 96,48252.88
Cliente 748,Pequeña Empresa,Ubicación 86,Empleado 51,4786.5
Cliente 749,Pequeña Empresa,Ubicación 24,Empleado 72,5393.98
Cliente 750,Mediana Empresa,Ubicación 8,Empleado 63,21330.27
Cliente 751,Corporativo,Ubicación 60,Empleado 75,17579.47
Cliente 752,Gobierno,Ubicación 19,Empleado 96,9225.16
Cliente 753,Mediana Empresa,Ubicación 49,Empleado 77,24414.8
Cliente 754,Pequeña Empresa,Ubicación 92,Empleado 47,27189.32
Cliente 755,Gobierno,Ubicación 6,Empleado 84,48880.03
Cliente 756,Gobierno,Ubicación 39,Empleado 40,17449.19
Cliente 757,Gobierno,Ubicación 41,Empleado 6,17990.05
Cliente 758,Corporativo,Ubicación 79,Empleado 74,36977.24
Cliente 759,Corporativo,Ubicación 11,Empleado 16,27887.54
Cliente 760,Pequeña Empresa,Ubicación 64,Empleado 40,26510.64
Cliente 761,Corporativo,Ubicación 47,Empleado 27,7824.55
Cliente 762,Gobierno,Ubicación 73,Empleado 59,13911.91
Cliente 763,Mediana Empresa,Ubicación 24,Empleado 82,31012.45
Cliente 764,Corporativo,Ubicación 94,Empleado 60,37573.12
Cliente 765,Mediana Empresa,Ubicación 20,Empleado 76,20583.2
Cliente 766,Pequeña Empresa,Ubicación 89,Empleado 22,10522.35
Cliente 767,Pequeña Empresa,Ubicación 98,Empleado 16,14027.58
Cliente 768,Pequeña Empresa,Ubicación 10,Empleado 5,49314.62
Cliente 769,Mediana Empresa,Ubicación 34,Empleado 72,39052.52
Cliente 770,Corporativo,Ubicación 87,Empleado 93,43598.01
Cliente 771,Mediana Empresa,Ubicación 75,Empleado 28,33566.37
Cliente 772,Corporativo,Ubicación 24,Empleado 1,34873.02
Cliente 773,Pequeña Empresa,Ubicación 82,Empleado 40,3277.98
Cliente 774,Mediana Empresa,Ubicación 77,Empleado 13,28300.9
Cliente 775,Mediana Empresa,Ubicación 61,Empleado 89,23533.64
Cliente 776,Pequeña Empresa,Ubicación 1,Empleado 47,34754.86
Cliente 777,Pequeña Empresa,Ubicación 26,Empleado 7,21306.94
Cliente 778,Gobierno,Ubicación 41,Empleado 11,32009.4
Cliente 779,Mediana Empresa,Ubicación 70,Empleado 75,23414.69
Cliente 780,Corporativo,Ubicación 56,Empleado 45,42620.06
Cliente 781,Pequeña Empresa,Ubicación 24,Empleado 9,563.7
Cliente 782,Mediana Empresa,Ubicación 30,Empleado 97,17700.25
Cliente 783,Pequeña Empresa,Ubicación 13,Empleado 7,26990.2
Cliente 784,Mediana Empresa,Ubicación 42,Empleado 16,11863.97
Cliente 785,Pequeña Empresa,Ubicación 90,Empleado 59,41557.49
Cliente 786,Gobierno,Ubicación 57,Empleado 71,16933.96
Cliente 787,Gobierno,Ubicación 37,Empleado 48,26130.61
Cliente 788,Pequeña Empresa,Ubicación 87,Empleado 82,49461.0
Cliente 789,Gobierno,Ubicación 73,Empleado 17,39174.05
Cliente 790,Mediana Empresa,Ubicación 52,Empleado 16,6154.49
Cliente 791,Mediana Empresa,Ubicación 32,Empleado 61,34859.16
Cliente 792,Pequeña Empresa,Ubicación 100,Empleado 2,3494.52
Cliente 793,Pequeña Empresa,Ubicación 56,Empleado 81,1582.55
Cliente 794,Corporativo,Ubicación 52,Empleado 48,29982.4
Cliente 795,Mediana Empresa,Ubicación 90,Empleado 13,43723.08
Cliente 796,Corporativo,Ubicación 71,Empleado 18,33209.44
Cliente 797,Mediana Empresa,Ubicación 57,Empleado 19,39204.08
Cliente 798,Pequeña Empresa,Ubicación 23,Empleado 72,18475.46
Cliente 799,Gobierno,Ubicación 83,Empleado 32,8596.79
