Número de Pedido,Cliente,Fecha del Pedido,Monto Total,Estado del Pedido,Ejecutivo Responsable,Producto Comprado
Pedido-1087,Cliente 130,2024-11-26,2697.19,Pendiente,Empleado 68,"Producto 231, Producto 102, Producto 43, Producto 261"
Pedido-1088,Cliente 212,2024-11-27,4899.54,Cancelado,Empleado 77,Producto 21
Pedido-1089,Cliente 1879,2024-08-09,2471.46,Entregado,Empleado 71,Producto 273
Pedido-1090,Cliente 1608,2024-04-03,817.62,Procesado,Empleado 4,"Producto 40, Producto 251, Producto 104, Producto 292, Producto 297"
Pedido-1091,Cliente 1706,2025-02-05,2785.24,Cancelado,Empleado 71,"Producto 59, Producto 28, Producto 49"
Pedido-1092,Cliente 1384,2024-09-17,3841.01,Pendiente,Empleado 27,"Producto 150, Producto 297"
Pedido-1093,Cliente 839,2024-12-28,2871.51,Pendiente,Empleado 97,"Producto 216, Producto 94"
Pedido-1094,Cliente 1414,2024-09-28,2262.99,Procesado,Empleado 82,"Producto 296, Producto 137, Producto 56, Producto 181, Producto 47"
Pedido-1095,Cliente 1864,2024-11-12,2188.09,Pendiente,Empleado 37,"Producto 98, Producto 185"
Pedido-1096,Cliente 395,2025-02-05,3868.23,Procesado,Empleado 45,Producto 71
Pedido-1097,Cliente 803,2024-05-23,3171.35,Pendiente,Empleado 17,"Producto 256, Producto 101, Producto 66"
Pedido-1098,Cliente 1929,2024-04-11,2766.41,Pendiente,Empleado 53,"Producto 133, Producto 222"
Pedido-1099,Cliente 319,2024-11-15,1882.78,Procesado,Empleado 24,"Producto 197, Producto 103"
Pedido-1100,Cliente 433,2024-08-16,1557.29,Procesado,Empleado 83,Producto 246
Pedido-1101,Cliente 982,2024-09-06,888.47,Enviado,Empleado 84,"Producto 57, Producto 90"
Pedido-1102,Cliente 113,2024-05-02,3918.85,Cancelado,Empleado 74,"Producto 163, Producto 188, Producto 40"
Pedido-1103,Cliente 1630,2025-01-08,2399.38,Cancelado,Empleado 42,"Producto 110, Producto 27, Producto 295"
Pedido-1104,Cliente 1717,2024-10-12,381.28,Enviado,Empleado 6,"Producto 77, Producto 10, Producto 197, Producto 143"
Pedido-1105,Cliente 1454,2025-02-23,1880.22,Cancelado,Empleado 13,"Producto 213, Producto 32"
Pedido-1106,Cliente 246,2024-12-04,4996.36,Pendiente,Empleado 100,Producto 92
Pedido-1107,Cliente 1714,2025-02-08,3506.17,Procesado,Empleado 72,"Producto 160, Producto 129, Producto 71, Producto 15, Producto 263"
Pedido-1108,Cliente 443,2024-05-07,3168.84,Pendiente,Empleado 8,"Producto 126, Producto 263, Producto 67"
Pedido-1109,Cliente 1974,2025-01-27,3776.77,Entregado,Empleado 11,"Producto 71, Producto 127, Producto 27, Producto 140"
Pedido-1110,Cliente 1708,2024-12-02,1998.63,Procesado,Empleado 69,Producto 26
Pedido-1111,Cliente 858,2024-10-01,1199.18,Procesado,Empleado 50,"Producto 255, Producto 5, Producto 87, Producto 18, Producto 181"
Pedido-1112,Cliente 1764,2025-01-25,2175.01,Cancelado,Empleado 77,Producto 111
Pedido-1113,Cliente 1951,2024-04-09,2815.15,Entregado,Empleado 23,"Producto 281, Producto 298"
Pedido-1114,Cliente 1519,2024-05-18,523.49,Cancelado,Empleado 90,Producto 285
Pedido-1115,Cliente 341,2024-05-29,457.48,Pendiente,Empleado 13,"Producto 43, Producto 135, Producto 13"
Pedido-1116,Cliente 1086,2024-10-14,4255.98,Pendiente,Empleado 83,"Producto 127, Producto 9, Producto 103"
Pedido-1117,Cliente 1126,2025-01-17,216.91,Cancelado,Empleado 49,"Producto 5, Producto 89, Producto 133, Producto 12"
Pedido-1118,Cliente 1585,2024-11-07,3277.88,Pendiente,Empleado 14,"Producto 160, Producto 43, Producto 100, Producto 38, Producto 278"
Pedido-1119,Cliente 1931,2024-03-01,1264.82,Pendiente,Empleado 29,"Producto 136, Producto 92, Producto 71"
Pedido-1120,Cliente 345,2024-04-17,1490.47,Pendiente,Empleado 25,"Producto 119, Producto 254, Producto 216"
Pedido-1121,Cliente 1736,2024-09-06,3863.6,Procesado,Empleado 83,"Producto 182, Producto 200"
Pedido-1122,Cliente 1329,2024-04-05,2266.75,Entregado,Empleado 14,"Producto 81, Producto 133, Producto 251"
Pedido-1123,Cliente 307,2025-02-24,4166.01,Cancelado,Empleado 12,Producto 6
Pedido-1124,Cliente 1817,2024-11-27,4504.08,Procesado,Empleado 40,"Producto 291, Producto 209, Producto 11, Producto 54, Producto 48"
Pedido-1125,Cliente 1542,2024-12-14,3452.1,Procesado,Empleado 8,"Producto 265, Producto 277"
Pedido-1126,Cliente 1837,2024-11-10,1046.09,Pendiente,Empleado 67,"Producto 148, Producto 21"
Pedido-1127,Cliente 713,2024-07-02,4529.37,Entregado,Empleado 53,"Producto 299, Producto 126, Producto 37"
Pedido-1128,Cliente 1499,2024-07-07,1298.59,Pendiente,Empleado 12,"Producto 175, Producto 149, Producto 126, Producto 63"
Pedido-1129,Cliente 219,2024-03-14,884.84,Procesado,Empleado 10,Producto 169
Pedido-1130,Cliente 510,2024-08-10,3416.1,Entregado,Empleado 86,Producto 218
Pedido-1131,Cliente 285,2025-02-02,753.31,Procesado,Empleado 44,"Producto 192, Producto 167, Producto 190, Producto 206, Producto 30"
Pedido-1132,Cliente 283,2024-12-12,1440.71,Entregado,Empleado 89,"Producto 9, Producto 236, Producto 161, Producto 26"
Pedido-1133,Cliente 374,2024-06-23,2216.17,Pendiente,Empleado 85,"Producto 94, Producto 98, Producto 285, Producto 90"
Pedido-1134,Cliente 1758,2024-05-05,982.31,Procesado,Empleado 87,"Producto 41, Producto 3, Producto 9"
Pedido-1135,Cliente 1701,2024-07-04,2243.66,Entregado,Empleado 97,Producto 104
Pedido-1136,Cliente 815,2024-02-29,1735.66,Enviado,Empleado 44,Producto 189
Pedido-1137,Cliente 1742,2024-12-05,1735.71,Pendiente,Empleado 22,"Producto 262, Producto 195, Producto 82, Producto 109, Producto 280"
Pedido-1138,Cliente 340,2024-11-27,2135.39,Enviado,Empleado 62,"Producto 192, Producto 60, Producto 109, Producto 26, Producto 154"
Pedido-1139,Cliente 1749,2024-10-12,413.18,Pendiente,Empleado 36,"Producto 300, Producto 32"
Pedido-1140,Cliente 274,2024-11-11,3043.13,Pendiente,Empleado 16,"Producto 130, Producto 163, Producto 121"
Pedido-1141,Cliente 1447,2024-04-27,4202.2,Enviado,Empleado 84,"Producto 191, Producto 248, Producto 58, Producto 276, Producto 73"
Pedido-1142,Cliente 1021,2024-11-01,3346.44,Enviado,Empleado 81,"Producto 23, Producto 71, Producto 3, Producto 269, Producto 54"
Pedido-1143,Cliente 1050,2025-01-23,128.32,Pendiente,Empleado 83,"Producto 284, Producto 122, Producto 64, Producto 2"
Pedido-1144,Cliente 1568,2024-10-07,3518.22,Cancelado,Empleado 69,"Producto 249, Producto 102"
Pedido-1145,Cliente 1875,2024-08-08,1530.4,Pendiente,Empleado 39,"Producto 254, Producto 208"
Pedido-1146,Cliente 975,2024-11-20,995.56,Cancelado,Empleado 34,Producto 231
Pedido-1147,Cliente 1546,2024-09-17,4409.56,Cancelado,Empleado 47,Producto 131
Pedido-1148,Cliente 942,2024-12-25,3979.49,Entregado,Empleado 30,"Producto 257, Producto 131, Producto 70"
Pedido-1149,Cliente 612,2024-07-01,278.99,Entregado,Empleado 49,"Producto 282, Producto 61, Producto 254, Producto 104, Producto 154"
Pedido-1150,Cliente 222,2025-01-22,4284.69,Entregado,Empleado 12,"Producto 294, Producto 298, Producto 245, Producto 84"
Pedido-1151,Cliente 279,2024-10-04,1302.6,Pendiente,Empleado 89,"Producto 167, Producto 133, Producto 21"
Pedido-1152,Cliente 828,2024-08-01,1739.68,Pendiente,Empleado 52,"Producto 282, Producto 215, Producto 34"
Pedido-1153,Cliente 1176,2024-08-31,719.55,Cancelado,Empleado 57,Producto 136
Pedido-1154,Cliente 575,2024-08-13,2643.01,Procesado,Empleado 45,Producto 206
Pedido-1155,Cliente 1144,2024-12-10,2269.52,Procesado,Empleado 83,"Producto 173, Producto 89, Producto 125"
Pedido-1156,Cliente 1798,2024-04-08,4710.81,Pendiente,Empleado 92,Producto 218
Pedido-1157,Cliente 1807,2024-08-25,4198.26,Enviado,Empleado 51,"Producto 189, Producto 155, Producto 135, Producto 206, Producto 176"
Pedido-1158,Cliente 1637,2024-10-29,2214.51,Entregado,Empleado 74,Producto 176
Pedido-1159,Cliente 933,2024-06-03,4169.52,Cancelado,Empleado 18,"Producto 284, Producto 270, Producto 195, Producto 263"
Pedido-1160,Cliente 245,2024-05-25,3283.32,Pendiente,Empleado 37,"Producto 222, Producto 196, Producto 243"
Pedido-1161,Cliente 782,2024-07-30,399.15,Enviado,Empleado 40,"Producto 83, Producto 63"
Pedido-1162,Cliente 243,2024-03-03,4795.6,Procesado,Empleado 31,"Producto 27, Producto 275"
Pedido-1163,Cliente 1133,2024-09-11,3415.9,Pendiente,Empleado 62,"Producto 248, Producto 270, Producto 49, Producto 261"
Pedido-1164,Cliente 192,2024-11-07,535.01,Cancelado,Empleado 56,"Producto 120, Producto 168, Producto 118, Producto 220, Producto 298"
Pedido-1165,Cliente 1605,2024-10-07,1594.13,Entregado,Empleado 30,"Producto 163, Producto 112"
Pedido-1166,Cliente 348,2024-12-04,2662.81,Entregado,Empleado 56,"Producto 273, Producto 180, Producto 260, Producto 98, Producto 29"
Pedido-1167,Cliente 1413,2024-12-03,4125.71,Procesado,Empleado 69,"Producto 77, Producto 88, Producto 238"
Pedido-1168,Cliente 1165,2024-11-24,2916.43,Enviado,Empleado 37,"Producto 77, Producto 82, Producto 197, Producto 200"
Pedido-1169,Cliente 492,2024-11-04,2004.61,Entregado,Empleado 78,Producto 118
Pedido-1170,Cliente 1761,2024-06-29,2744.63,Entregado,Empleado 75,Producto 39
Pedido-1171,Cliente 1722,2024-07-27,1795.06,Pendiente,Empleado 68,"Producto 190, Producto 168, Producto 136, Producto 151"
Pedido-1172,Cliente 319,2024-05-13,1624.12,Procesado,Empleado 21,Producto 181
Pedido-1173,Cliente 1067,2024-04-02,335.19,Procesado,Empleado 8,"Producto 77, Producto 69"
Pedido-1174,Cliente 1541,2024-07-15,2249.41,Cancelado,Empleado 80,Producto 239
Pedido-1175,Cliente 1145,2024-12-30,4358.99,Pendiente,Empleado 50,"Producto 247, Producto 10, Producto 97"
Pedido-1176,Cliente 635,2024-05-03,1888.15,Entregado,Empleado 83,"Producto 29, Producto 243, Producto 40"
Pedido-1177,Cliente 1965,2024-03-30,290.48,Procesado,Empleado 77,"Producto 196, Producto 224, Producto 25"
Pedido-1178,Cliente 815,2024-07-18,3661.39,Procesado,Empleado 48,"Producto 284, Producto 79, Producto 266"
Pedido-1179,Cliente 1482,2024-04-10,3011.85,Entregado,Empleado 59,"Producto 134, Producto 93, Producto 96, Producto 260, Producto 253"
Pedido-1180,Cliente 529,2024-04-28,1866.74,Pendiente,Empleado 52,"Producto 284, Producto 239, Producto 297, Producto 85"
Pedido-1181,Cliente 1415,2024-11-04,3222.56,Procesado,Empleado 9,"Producto 181, Producto 241"
Pedido-1182,Cliente 400,2024-05-21,1149.3,Procesado,Empleado 34,"Producto 46, Producto 33, Producto 163, Producto 248, Producto 173"
Pedido-1183,Cliente 1674,2024-09-02,2372.74,Enviado,Empleado 12,"Producto 129, Producto 31, Producto 30, Producto 156"
Pedido-1184,Cliente 164,2024-10-19,4272.34,Enviado,Empleado 26,"Producto 5, Producto 97, Producto 96"
Pedido-1185,Cliente 1292,2025-01-25,4242.83,Pendiente,Empleado 52,"Producto 285, Producto 244, Producto 171, Producto 236, Producto 124"
Pedido-1186,Cliente 1412,2024-11-09,4050.99,Enviado,Empleado 6,Producto 12
Pedido-1187,Cliente 669,2024-09-28,1037.07,Cancelado,Empleado 40,"Producto 70, Producto 193"
Pedido-1188,Cliente 1784,2025-01-11,1525.58,Entregado,Empleado 3,"Producto 286, Producto 179"
Pedido-1189,Cliente 78,2025-01-07,4948.87,Procesado,Empleado 72,"Producto 51, Producto 19"
Pedido-1190,Cliente 1295,2024-04-21,667.54,Enviado,Empleado 26,"Producto 220, Producto 172"
Pedido-1191,Cliente 1951,2024-04-24,4531.75,Enviado,Empleado 75,"Producto 93, Producto 61"
Pedido-1192,Cliente 1223,2024-03-23,4531.97,Entregado,Empleado 32,"Producto 161, Producto 222, Producto 219"
Pedido-1193,Cliente 1937,2024-09-11,1931.81,Enviado,Empleado 72,"Producto 66, Producto 88, Producto 252"
Pedido-1194,Cliente 64,2024-08-06,1527.31,Cancelado,Empleado 10,"Producto 261, Producto 49, Producto 100, Producto 124"
Pedido-1195,Cliente 1601,2024-11-18,3203.3,Entregado,Empleado 7,"Producto 41, Producto 202, Producto 12, Producto 297, Producto 285"
Pedido-1196,Cliente 1928,2024-07-23,2966.39,Procesado,Empleado 42,"Producto 15, Producto 168, Producto 246, Producto 259, Producto 178"
Pedido-1197,Cliente 1070,2024-08-13,2347.97,Cancelado,Empleado 86,"Producto 208, Producto 194, Producto 15"
Pedido-1198,Cliente 1697,2025-01-08,508.73,Pendiente,Empleado 70,"Producto 109, Producto 300, Producto 98, Producto 178, Producto 46"
Pedido-1199,Cliente 94,2024-04-12,3079.12,Enviado,Empleado 42,Producto 67
Pedido-1200,Cliente 749,2024-06-02,4743.51,Enviado,Empleado 61,"Producto 286, Producto 221"
Pedido-1201,Cliente 1943,2024-07-29,3338.56,Cancelado,Empleado 97,"Producto 252, Producto 207, Producto 80, Producto 107"
Pedido-1202,Cliente 1475,2024-02-27,4938.15,Entregado,Empleado 95,"Producto 228, Producto 137, Producto 177, Producto 222"
Pedido-1203,Cliente 287,2024-11-05,2565.24,Enviado,Empleado 48,Producto 238
Pedido-1204,Cliente 1075,2024-04-06,2913.24,Entregado,Empleado 34,"Producto 285, Producto 125, Producto 212"
Pedido-1205,Cliente 926,2024-06-19,3243.64,Procesado,Empleado 32,"Producto 264, Producto 137, Producto 249"
Pedido-1206,Cliente 620,2024-04-28,4806.28,Enviado,Empleado 67,"Producto 113, Producto 280, Producto 3, Producto 110"
Pedido-1207,Cliente 1833,2024-08-27,4489.92,Entregado,Empleado 64,Producto 157
Pedido-1208,Cliente 516,2024-08-03,529.04,Procesado,Empleado 89,"Producto 110, Producto 255, Producto 52"
Pedido-1209,Cliente 212,2024-07-04,3575.22,Cancelado,Empleado 55,"Producto 7, Producto 151"
Pedido-1210,Cliente 200,2024-07-26,3859.21,Pendiente,Empleado 1,"Producto 14, Producto 11, Producto 194, Producto 115"
Pedido-1211,Cliente 1836,2024-10-21,2903.63,Cancelado,Empleado 8,"Producto 28, Producto 234, Producto 45"
Pedido-1212,Cliente 1580,2024-06-27,2505.45,Entregado,Empleado 66,"Producto 142, Producto 193, Producto 185, Producto 130, Producto 6"
Pedido-1213,Cliente 1430,2024-04-24,1261.8,Enviado,Empleado 1,Producto 9
Pedido-1214,Cliente 305,2024-04-16,4523.17,Procesado,Empleado 15,"Producto 183, Producto 249"
Pedido-1215,Cliente 666,2024-06-12,685.14,Pendiente,Empleado 51,"Producto 125, Producto 23"
Pedido-1216,Cliente 1154,2024-03-22,2579.15,Pendiente,Empleado 81,"Producto 221, Producto 72, Producto 136, Producto 131, Producto 184"
Pedido-1217,Cliente 1502,2024-03-08,2211.94,Cancelado,Empleado 69,"Producto 196, Producto 162"
Pedido-1218,Cliente 923,2024-08-04,1374.68,Entregado,Empleado 41,"Producto 124, Producto 55, Producto 189, Producto 60"
Pedido-1219,Cliente 1232,2025-02-04,3510.62,Procesado,Empleado 95,"Producto 205, Producto 174, Producto 294, Producto 109"
Pedido-1220,Cliente 264,2025-01-11,2375.66,Pendiente,Empleado 62,"Producto 88, Producto 267, Producto 291"
Pedido-1221,Cliente 255,2024-07-10,1829.94,Entregado,Empleado 22,"Producto 241, Producto 264, Producto 253"
Pedido-1222,Cliente 661,2024-10-15,2290.17,Procesado,Empleado 91,"Producto 220, Producto 246, Producto 169, Producto 131, Producto 54"
Pedido-1223,Cliente 411,2024-07-26,1203.44,Enviado,Empleado 17,Producto 255
Pedido-1224,Cliente 370,2024-08-27,2814.67,Procesado,Empleado 27,"Producto 67, Producto 234, Producto 14, Producto 189, Producto 285"
Pedido-1225,Cliente 585,2024-10-08,3161.23,Pendiente,Empleado 32,"Producto 44, Producto 122, Producto 172"
Pedido-1226,Cliente 132,2025-01-27,4025.43,Cancelado,Empleado 96,"Producto 201, Producto 211"
Pedido-1227,Cliente 791,2025-01-12,2213.0,Procesado,Empleado 17,Producto 192
Pedido-1228,Cliente 1317,2024-08-13,3154.47,Cancelado,Empleado 79,"Producto 252, Producto 95, Producto 86"
Pedido-1229,Cliente 221,2025-01-03,3064.15,Procesado,Empleado 56,"Producto 129, Producto 277, Producto 280"
Pedido-1230,Cliente 1125,2025-01-18,2922.93,Cancelado,Empleado 98,"Producto 31, Producto 156, Producto 66, Producto 48, Producto 5"
Pedido-1231,Cliente 1144,2024-08-28,837.61,Procesado,Empleado 19,"Producto 259, Producto 5, Producto 7, Producto 216"
Pedido-1232,Cliente 203,2024-07-11,3108.83,Cancelado,Empleado 85,"Producto 38, Producto 160"
Pedido-1233,Cliente 1442,2024-09-07,3708.05,Cancelado,Empleado 6,"Producto 283, Producto 179, Producto 269"
Pedido-1234,Cliente 372,2024-06-30,4373.25,Procesado,Empleado 50,"Producto 102, Producto 253, Producto 219, Producto 127"
Pedido-1235,Cliente 643,2025-01-02,1477.14,Enviado,Empleado 92,"Producto 242, Producto 152, Producto 283"
Pedido-1236,Cliente 24,2025-02-10,2077.61,Entregado,Empleado 4,Producto 286
Pedido-1237,Cliente 1857,2024-12-18,3939.29,Procesado,Empleado 10,"Producto 93, Producto 53"
Pedido-1238,Cliente 760,2025-01-20,2110.97,Entregado,Empleado 23,"Producto 48, Producto 253, Producto 238, Producto 81, Producto 151"
Pedido-1239,Cliente 1776,2024-07-20,2084.87,Entregado,Empleado 4,"Producto 296, Producto 67"
Pedido-1240,Cliente 131,2024-04-12,3538.96,Entregado,Empleado 11,"Producto 83, Producto 61, Producto 272, Producto 196, Producto 34"
Pedido-1241,Cliente 544,2024-09-30,3622.45,Cancelado,Empleado 98,"Producto 199, Producto 190, Producto 193, Producto 103, Producto 298"
Pedido-1242,Cliente 93,2024-06-08,4026.82,Enviado,Empleado 32,"Producto 74, Producto 140, Producto 11, Producto 22"
Pedido-1243,Cliente 1544,2025-01-11,3201.61,Cancelado,Empleado 50,"Producto 296, Producto 76, Producto 186"
Pedido-1244,Cliente 1610,2024-11-08,3663.67,Enviado,Empleado 40,"Producto 189, Producto 93, Producto 161, Producto 301, Producto 70"
Pedido-1245,Cliente 1408,2024-04-13,2326.46,Enviado,Empleado 7,Producto 21
Pedido-1246,Cliente 1784,2024-11-09,1300.0,Entregado,Empleado 88,"Producto 122, Producto 263, Producto 170"
Pedido-1247,Cliente 1614,2024-02-29,1972.15,Procesado,Empleado 83,"Producto 159, Producto 8, Producto 249"
Pedido-1248,Cliente 1159,2024-10-29,3134.59,Procesado,Empleado 63,"Producto 209, Producto 96"
Pedido-1249,Cliente 1997,2024-11-30,568.39,Enviado,Empleado 67,"Producto 79, Producto 195, Producto 297, Producto 289, Producto 107"
Pedido-1250,Cliente 581,2024-11-25,3520.47,Cancelado,Empleado 35,"Producto 228, Producto 245, Producto 203"
Pedido-1251,Cliente 981,2024-06-09,459.51,Pendiente,Empleado 10,Producto 180
Pedido-1252,Cliente 1860,2024-08-07,4744.45,Cancelado,Empleado 71,"Producto 164, Producto 258, Producto 90, Producto 196"
Pedido-1253,Cliente 928,2024-09-14,2470.68,Enviado,Empleado 72,"Producto 224, Producto 207, Producto 127, Producto 7"
Pedido-1254,Cliente 314,2024-04-24,3906.55,Entregado,Empleado 80,"Producto 49, Producto 56, Producto 42, Producto 151"
Pedido-1255,Cliente 938,2024-07-16,208.89,Enviado,Empleado 9,"Producto 77, Producto 271, Producto 101, Producto 242"
Pedido-1256,Cliente 995,2024-10-23,2856.69,Pendiente,Empleado 25,"Producto 299, Producto 58, Producto 108, Producto 190"
Pedido-1257,Cliente 1159,2024-06-27,3087.05,Pendiente,Empleado 4,"Producto 34, Producto 41, Producto 249"
Pedido-1258,Cliente 911,2024-06-17,4166.2,Enviado,Empleado 92,"Producto 88, Producto 118, Producto 59, Producto 238, Producto 87"
Pedido-1259,Cliente 1454,2024-08-29,2864.22,Cancelado,Empleado 4,Producto 98
Pedido-1260,Cliente 241,2024-05-26,4837.92,Cancelado,Empleado 75,"Producto 229, Producto 265, Producto 35"
Pedido-1261,Cliente 1454,2024-03-21,121.93,Pendiente,Empleado 30,Producto 268
Pedido-1262,Cliente 1268,2024-04-27,1801.04,Enviado,Empleado 30,"Producto 220, Producto 189, Producto 34"
Pedido-1263,Cliente 735,2024-10-02,2835.24,Procesado,Empleado 14,"Producto 272, Producto 69"
Pedido-1264,Cliente 1034,2025-02-14,564.95,Cancelado,Empleado 9,"Producto 120, Producto 224, Producto 112, Producto 270"
Pedido-1265,Cliente 1915,2024-05-04,4981.59,Enviado,Empleado 63,"Producto 88, Producto 140, Producto 178, Producto 46"
Pedido-1266,Cliente 272,2024-07-25,3008.15,Cancelado,Empleado 12,"Producto 180, Producto 298, Producto 109, Producto 62, Producto 34"
Pedido-1267,Cliente 1914,2025-01-14,2717.86,Pendiente,Empleado 50,"Producto 112, Producto 199, Producto 98, Producto 60"
Pedido-1268,Cliente 364,2024-10-05,2539.0,Pendiente,Empleado 77,Producto 236
Pedido-1269,Cliente 655,2024-12-23,853.06,Pendiente,Empleado 18,"Producto 177, Producto 277, Producto 301"
Pedido-1270,Cliente 1660,2024-09-07,1827.14,Procesado,Empleado 63,"Producto 191, Producto 125, Producto 117"
Pedido-1271,Cliente 1118,2024-11-11,4399.21,Pendiente,Empleado 91,"Producto 265, Producto 114, Producto 21, Producto 195, Producto 256"
Pedido-1272,Cliente 1069,2024-07-07,1987.33,Enviado,Empleado 10,"Producto 188, Producto 136"
Pedido-1273,Cliente 516,2025-02-07,4419.26,Enviado,Empleado 93,"Producto 282, Producto 5, Producto 170"
Pedido-1274,Cliente 1503,2024-07-21,2800.67,Cancelado,Empleado 70,"Producto 195, Producto 121, Producto 241, Producto 245"
Pedido-1275,Cliente 1293,2025-01-27,3334.04,Entregado,Empleado 1,Producto 144
Pedido-1276,Cliente 1960,2025-01-31,981.58,Cancelado,Empleado 50,"Producto 143, Producto 186"
Pedido-1277,Cliente 172,2024-10-21,263.48,Pendiente,Empleado 41,"Producto 23, Producto 103, Producto 61, Producto 297"
Pedido-1278,Cliente 1727,2024-09-27,1086.05,Enviado,Empleado 98,"Producto 33, Producto 169, Producto 54, Producto 84"
Pedido-1279,Cliente 1763,2025-02-10,4012.32,Enviado,Empleado 23,"Producto 103, Producto 179, Producto 102, Producto 165, Producto 57"
Pedido-1280,Cliente 981,2024-03-20,2486.28,Cancelado,Empleado 37,"Producto 155, Producto 139"
Pedido-1281,Cliente 1889,2024-05-02,3408.85,Pendiente,Empleado 88,"Producto 226, Producto 135, Producto 155, Producto 19"
Pedido-1282,Cliente 903,2024-10-16,3260.58,Procesado,Empleado 82,"Producto 75, Producto 100, Producto 254, Producto 101"
Pedido-1283,Cliente 645,2024-07-14,2671.02,Enviado,Empleado 60,"Producto 113, Producto 46"
Pedido-1284,Cliente 1483,2024-03-18,4663.4,Cancelado,Empleado 39,"Producto 91, Producto 40"
Pedido-1285,Cliente 512,2024-12-31,774.29,Entregado,Empleado 13,"Producto 79, Producto 72, Producto 110, Producto 199, Producto 200"
Pedido-1286,Cliente 1803,2025-01-20,445.97,Entregado,Empleado 10,"Producto 32, Producto 9, Producto 35, Producto 164"
Pedido-1287,Cliente 944,2024-06-29,3810.82,Entregado,Empleado 62,"Producto 286, Producto 145, Producto 15, Producto 67, Producto 148"
Pedido-1288,Cliente 344,2024-09-14,312.2,Procesado,Empleado 69,"Producto 208, Producto 204, Producto 222, Producto 94"
Pedido-1289,Cliente 1585,2025-01-12,3668.18,Entregado,Empleado 8,"Producto 59, Producto 72, Producto 176, Producto 164"
Pedido-1290,Cliente 1559,2024-07-29,4675.4,Cancelado,Empleado 92,Producto 242
Pedido-1291,Cliente 527,2024-11-09,2117.31,Procesado,Empleado 71,Producto 243
Pedido-1292,Cliente 1411,2024-10-06,2753.64,Cancelado,Empleado 23,Producto 205
Pedido-1293,Cliente 1801,2025-02-07,793.31,Procesado,Empleado 60,"Producto 251, Producto 269, Producto 28"
Pedido-1294,Cliente 543,2025-01-22,3707.6,Procesado,Empleado 71,"Producto 34, Producto 301"
Pedido-1295,Cliente 591,2024-10-12,3274.27,Enviado,Empleado 94,Producto 122
Pedido-1296,Cliente 394,2024-06-20,2945.94,Enviado,Empleado 84,"Producto 170, Producto 129"
Pedido-1297,Cliente 1418,2024-09-09,4764.79,Entregado,Empleado 5,Producto 138
Pedido-1298,Cliente 285,2024-08-29,2968.93,Enviado,Empleado 14,Producto 183
Pedido-1299,Cliente 673,2024-04-13,2305.48,Procesado,Empleado 65,"Producto 270, Producto 220, Producto 272, Producto 99, Producto 67"
Pedido-1300,Cliente 157,2024-07-08,277.27,Procesado,Empleado 39,Producto 55
Pedido-1301,Cliente 658,2025-02-02,2002.05,Enviado,Empleado 52,"Producto 94, Producto 183, Producto 74"
Pedido-1302,Cliente 1748,2024-12-18,2302.58,Cancelado,Empleado 32,Producto 118
Pedido-1303,Cliente 1535,2024-04-21,362.23,Enviado,Empleado 76,"Producto 229, Producto 13, Producto 8, Producto 132, Producto 213"
Pedido-1304,Cliente 461,2024-09-28,3442.74,Procesado,Empleado 8,"Producto 251, Producto 43, Producto 230, Producto 64, Producto 75"
Pedido-1305,Cliente 516,2024-07-12,3472.98,Cancelado,Empleado 71,"Producto 233, Producto 110, Producto 120, Producto 235, Producto 11"
Pedido-1306,Cliente 1694,2025-01-08,4099.64,Procesado,Empleado 33,"Producto 115, Producto 97, Producto 117"
Pedido-1307,Cliente 1122,2024-12-22,127.16,Enviado,Empleado 64,"Producto 208, Producto 111, Producto 172, Producto 241"
Pedido-1308,Cliente 851,2024-03-31,585.62,Entregado,Empleado 12,"Producto 85, Producto 71, Producto 58"
Pedido-1309,Cliente 1473,2024-09-15,4649.84,Pendiente,Empleado 78,"Producto 109, Producto 197, Producto 41, Producto 163"
Pedido-1310,Cliente 432,2024-10-25,640.39,Pendiente,Empleado 92,"Producto 132, Producto 86"
Pedido-1311,Cliente 149,2024-11-19,996.54,Cancelado,Empleado 72,Producto 10
Pedido-1312,Cliente 568,2024-04-30,4810.17,Cancelado,Empleado 16,"Producto 48, Producto 186, Producto 138"
Pedido-1313,Cliente 6,2024-12-01,2613.03,Cancelado,Empleado 11,"Producto 291, Producto 55, Producto 273"
Pedido-1314,Cliente 428,2024-09-26,3239.34,Pendiente,Empleado 28,"Producto 283, Producto 216, Producto 163, Producto 162, Producto 293"
Pedido-1315,Cliente 1176,2024-10-25,679.68,Pendiente,Empleado 28,"Producto 6, Producto 289, Producto 266, Producto 48, Producto 159"
Pedido-1316,Cliente 1363,2024-07-31,3118.62,Pendiente,Empleado 60,"Producto 128, Producto 14, Producto 52"
Pedido-1317,Cliente 1980,2024-03-14,3846.6,Entregado,Empleado 81,"Producto 224, Producto 218, Producto 178, Producto 208"
Pedido-1318,Cliente 1411,2025-02-04,407.1,Entregado,Empleado 91,Producto 68
Pedido-1319,Cliente 1026,2024-12-03,3236.17,Entregado,Empleado 85,"Producto 17, Producto 45, Producto 38"
Pedido-1320,Cliente 1970,2024-12-08,2625.81,Entregado,Empleado 97,"Producto 74, Producto 118, Producto 84"
Pedido-1321,Cliente 1809,2024-12-04,3785.0,Cancelado,Empleado 97,"Producto 166, Producto 105, Producto 21, Producto 146, Producto 176"
